,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0795,0.2072,0.2820,0.8724,0.9340,0.9181,0.2648,0.3631,0.5146,0.5816,0.7682,0.7462
DecisionTreeRegressor,0.1603,0.2965,0.4003,0.7427,0.8711,0.8429,0.2890,0.3803,0.5376,0.5433,0.7490,0.7214
RandomForestRegressor,0.0812,0.2088,0.2849,0.8697,0.9326,0.9164,0.2674,0.3644,0.5171,0.5774,0.7660,0.7443
GradientBoostingRegressor,0.0797,0.2078,0.2823,0.8721,0.9339,0.9180,0.2679,0.3662,0.5176,0.5767,0.7659,0.7433
AdaBoostRegressor,0.0927,0.2333,0.3044,0.8512,0.9237,0.9063,0.2724,0.3770,0.5219,0.5695,0.7603,0.7376
XGBRegressor,0.0937,0.2264,0.3061,0.8496,0.9220,0.9046,0.2657,0.3649,0.5154,0.5802,0.7680,0.7434
ExtraTreesRegressor,0.0825,0.2102,0.2872,0.8675,0.9314,0.9157,0.2653,0.3640,0.5151,0.5808,0.7679,0.7442
LinearRegression,0.0898,0.2224,0.2997,0.8558,0.9256,0.9130,0.2724,0.3707,0.5220,0.5695,0.7618,0.7419
KNeighborsRegressor,0.1096,0.2446,0.3311,0.8240,0.9087,0.8845,0.2774,0.3674,0.5267,0.5616,0.7590,0.7411
SVR,0.0802,0.2060,0.2833,0.8712,0.9334,0.9197,0.2645,0.3623,0.5143,0.5820,0.7690,0.7489
MLPRegressor,0.1646,0.3021,0.4057,0.7357,0.8734,0.8571,0.3073,0.3929,0.5544,0.5144,0.7386,0.7148
