,Feature,Importance
0,Morgan_fp_0,0
1,Morgan_fp_1,0
2,Morgan_fp_2,1
3,Morgan_fp_3,0
4,Morgan_fp_4,0
5,Morgan_fp_5,1
6,Morgan_fp_6,0
7,Morgan_fp_7,0
8,Morgan_fp_8,0
9,Morgan_fp_9,0
10,Morgan_fp_10,0
11,Morgan_fp_11,0
12,Morgan_fp_12,0
13,Morgan_fp_13,1
14,Morgan_fp_14,0
15,Morgan_fp_15,0
16,Morgan_fp_16,0
17,Morgan_fp_17,0
18,Morgan_fp_18,0
19,Morgan_fp_19,9
20,Morgan_fp_20,0
21,Morgan_fp_21,0
22,Morgan_fp_22,0
23,Morgan_fp_23,0
24,Morgan_fp_24,0
25,Morgan_fp_25,0
26,Morgan_fp_26,0
27,Morgan_fp_27,0
28,Morgan_fp_28,0
29,Morgan_fp_29,0
30,Morgan_fp_30,0
31,Morgan_fp_31,0
32,Morgan_fp_32,0
33,Morgan_fp_33,0
34,Morgan_fp_34,1
35,Morgan_fp_35,0
36,Morgan_fp_36,0
37,Morgan_fp_37,0
38,Morgan_fp_38,0
39,Morgan_fp_39,0
40,Morgan_fp_40,0
41,Morgan_fp_41,0
42,Morgan_fp_42,0
43,Morgan_fp_43,0
44,Morgan_fp_44,0
45,Morgan_fp_45,0
46,Morgan_fp_46,0
47,Morgan_fp_47,2
48,Morgan_fp_48,0
49,Morgan_fp_49,0
50,Morgan_fp_50,0
51,Morgan_fp_51,0
52,Morgan_fp_52,0
53,Morgan_fp_53,0
54,Morgan_fp_54,0
55,Morgan_fp_55,0
56,Morgan_fp_56,0
57,Morgan_fp_57,0
58,Morgan_fp_58,0
59,Morgan_fp_59,0
60,Morgan_fp_60,0
61,Morgan_fp_61,1
62,Morgan_fp_62,0
63,Morgan_fp_63,0
64,Morgan_fp_64,0
65,Morgan_fp_65,0
66,Morgan_fp_66,0
67,Morgan_fp_67,0
68,Morgan_fp_68,0
69,Morgan_fp_69,0
70,Morgan_fp_70,0
71,Morgan_fp_71,0
72,Morgan_fp_72,0
73,Morgan_fp_73,0
74,Morgan_fp_74,0
75,Morgan_fp_75,0
76,Morgan_fp_76,0
77,Morgan_fp_77,0
78,Morgan_fp_78,0
79,Morgan_fp_79,0
80,Morgan_fp_80,0
81,Morgan_fp_81,0
82,Morgan_fp_82,0
83,Morgan_fp_83,0
84,Morgan_fp_84,4
85,Morgan_fp_85,0
86,Morgan_fp_86,0
87,Morgan_fp_87,0
88,Morgan_fp_88,0
89,Morgan_fp_89,0
90,Morgan_fp_90,0
91,Morgan_fp_91,0
92,Morgan_fp_92,0
93,Morgan_fp_93,0
94,Morgan_fp_94,1
95,Morgan_fp_95,0
96,Morgan_fp_96,0
97,Morgan_fp_97,0
98,Morgan_fp_98,0
99,Morgan_fp_99,0
100,Morgan_fp_100,0
101,Morgan_fp_101,15
102,Morgan_fp_102,0
103,Morgan_fp_103,0
104,Morgan_fp_104,0
105,Morgan_fp_105,0
106,Morgan_fp_106,0
107,Morgan_fp_107,0
108,Morgan_fp_108,0
109,Morgan_fp_109,0
110,Morgan_fp_110,0
111,Morgan_fp_111,0
112,Morgan_fp_112,0
113,Morgan_fp_113,0
114,Morgan_fp_114,0
115,Morgan_fp_115,0
116,Morgan_fp_116,0
117,Morgan_fp_117,0
118,Morgan_fp_118,0
119,Morgan_fp_119,0
120,Morgan_fp_120,0
121,Morgan_fp_121,0
122,Morgan_fp_122,0
123,Morgan_fp_123,0
124,Morgan_fp_124,0
125,Morgan_fp_125,0
126,Morgan_fp_126,1
127,Morgan_fp_127,0
128,Morgan_fp_128,0
129,Morgan_fp_129,0
130,Morgan_fp_130,7
131,Morgan_fp_131,0
132,Morgan_fp_132,0
133,Morgan_fp_133,0
134,Morgan_fp_134,0
135,Morgan_fp_135,0
136,Morgan_fp_136,0
137,Morgan_fp_137,0
138,Morgan_fp_138,0
139,Morgan_fp_139,0
140,Morgan_fp_140,1
141,Morgan_fp_141,0
142,Morgan_fp_142,0
143,Morgan_fp_143,0
144,Morgan_fp_144,0
145,Morgan_fp_145,0
146,Morgan_fp_146,0
147,Morgan_fp_147,0
148,Morgan_fp_148,0
149,Morgan_fp_149,0
150,Morgan_fp_150,0
151,Morgan_fp_151,0
152,Morgan_fp_152,0
153,Morgan_fp_153,0
154,Morgan_fp_154,0
155,Morgan_fp_155,1
156,Morgan_fp_156,0
157,Morgan_fp_157,0
158,Morgan_fp_158,0
159,Morgan_fp_159,0
160,Morgan_fp_160,4
161,Morgan_fp_161,0
162,Morgan_fp_162,0
163,Morgan_fp_163,0
164,Morgan_fp_164,0
165,Morgan_fp_165,0
166,Morgan_fp_166,0
167,Morgan_fp_167,0
168,Morgan_fp_168,0
169,Morgan_fp_169,0
170,Morgan_fp_170,0
171,Morgan_fp_171,0
172,Morgan_fp_172,0
173,Morgan_fp_173,3
174,Morgan_fp_174,0
175,Morgan_fp_175,0
176,Morgan_fp_176,0
177,Morgan_fp_177,0
178,Morgan_fp_178,0
179,Morgan_fp_179,0
180,Morgan_fp_180,0
181,Morgan_fp_181,0
182,Morgan_fp_182,0
183,Morgan_fp_183,0
184,Morgan_fp_184,0
185,Morgan_fp_185,0
186,Morgan_fp_186,0
187,Morgan_fp_187,0
188,Morgan_fp_188,0
189,Morgan_fp_189,0
190,Morgan_fp_190,0
191,Morgan_fp_191,2
192,Morgan_fp_192,0
193,Morgan_fp_193,0
194,Morgan_fp_194,0
195,Morgan_fp_195,0
196,Morgan_fp_196,0
197,Morgan_fp_197,0
198,Morgan_fp_198,0
199,Morgan_fp_199,0
200,Morgan_fp_200,0
201,Morgan_fp_201,0
202,Morgan_fp_202,0
203,Morgan_fp_203,0
204,Morgan_fp_204,0
205,Morgan_fp_205,0
206,Morgan_fp_206,0
207,Morgan_fp_207,0
208,Morgan_fp_208,0
209,Morgan_fp_209,0
210,Morgan_fp_210,0
211,Morgan_fp_211,0
212,Morgan_fp_212,0
213,Morgan_fp_213,0
214,Morgan_fp_214,1
215,Morgan_fp_215,0
216,Morgan_fp_216,0
217,Morgan_fp_217,0
218,Morgan_fp_218,0
219,Morgan_fp_219,1
220,Morgan_fp_220,0
221,Morgan_fp_221,0
222,Morgan_fp_222,0
223,Morgan_fp_223,0
224,Morgan_fp_224,0
225,Morgan_fp_225,0
226,Morgan_fp_226,0
227,Morgan_fp_227,2
228,Morgan_fp_228,0
229,Morgan_fp_229,0
230,Morgan_fp_230,0
231,Morgan_fp_231,3
232,Morgan_fp_232,4
233,Morgan_fp_233,0
234,Morgan_fp_234,0
235,Morgan_fp_235,0
236,Morgan_fp_236,0
237,Morgan_fp_237,0
238,Morgan_fp_238,0
239,Morgan_fp_239,0
240,Morgan_fp_240,0
241,Morgan_fp_241,1
242,Morgan_fp_242,0
243,Morgan_fp_243,0
244,Morgan_fp_244,0
245,Morgan_fp_245,1
246,Morgan_fp_246,1
247,Morgan_fp_247,0
248,Morgan_fp_248,0
249,Morgan_fp_249,0
250,Morgan_fp_250,4
251,Morgan_fp_251,0
252,Morgan_fp_252,0
253,Morgan_fp_253,4
254,Morgan_fp_254,0
255,Morgan_fp_255,0
256,Morgan_fp_256,0
257,Morgan_fp_257,0
258,Morgan_fp_258,0
259,Morgan_fp_259,0
260,Morgan_fp_260,0
261,Morgan_fp_261,0
262,Morgan_fp_262,0
263,Morgan_fp_263,0
264,Morgan_fp_264,0
265,Morgan_fp_265,0
266,Morgan_fp_266,0
267,Morgan_fp_267,0
268,Morgan_fp_268,0
269,Morgan_fp_269,5
270,Morgan_fp_270,0
271,Morgan_fp_271,0
272,Morgan_fp_272,0
273,Morgan_fp_273,0
274,Morgan_fp_274,0
275,Morgan_fp_275,0
276,Morgan_fp_276,0
277,Morgan_fp_277,0
278,Morgan_fp_278,0
279,Morgan_fp_279,0
280,Morgan_fp_280,0
281,Morgan_fp_281,0
282,Morgan_fp_282,0
283,Morgan_fp_283,0
284,Morgan_fp_284,0
285,Morgan_fp_285,0
286,Morgan_fp_286,0
287,Morgan_fp_287,0
288,Morgan_fp_288,0
289,Morgan_fp_289,0
290,Morgan_fp_290,0
291,Morgan_fp_291,0
292,Morgan_fp_292,0
293,Morgan_fp_293,0
294,Morgan_fp_294,0
295,Morgan_fp_295,0
296,Morgan_fp_296,0
297,Morgan_fp_297,0
298,Morgan_fp_298,2
299,Morgan_fp_299,0
300,Morgan_fp_300,0
301,Morgan_fp_301,0
302,Morgan_fp_302,0
303,Morgan_fp_303,0
304,Morgan_fp_304,0
305,Morgan_fp_305,0
306,Morgan_fp_306,0
307,Morgan_fp_307,0
308,Morgan_fp_308,0
309,Morgan_fp_309,0
310,Morgan_fp_310,4
311,Morgan_fp_311,0
312,Morgan_fp_312,0
313,Morgan_fp_313,0
314,Morgan_fp_314,0
315,Morgan_fp_315,0
316,Morgan_fp_316,0
317,Morgan_fp_317,0
318,Morgan_fp_318,0
319,Morgan_fp_319,0
320,Morgan_fp_320,0
