,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2166,0.3418,0.4654,0.6523,0.8087,0.7776,0.2174,0.3404,0.4662,0.6565,0.8124,0.8000
DecisionTreeRegressor,0.3058,0.3857,0.5530,0.5090,0.7336,0.7183,0.2501,0.3481,0.5001,0.6049,0.7800,0.7769
RandomForestRegressor,0.2211,0.3447,0.4702,0.6450,0.8032,0.7752,0.2265,0.3423,0.4759,0.6421,0.8017,0.7903
GradientBoostingRegressor,0.2546,0.3737,0.5046,0.5912,0.7750,0.7402,0.2582,0.3727,0.5081,0.5921,0.7762,0.7575
AdaBoostRegressor,0.4593,0.5484,0.6777,0.2625,0.5952,0.5562,0.4270,0.5293,0.6535,0.3252,0.6410,0.6085
XGBRegressor,0.2129,0.3374,0.4614,0.6582,0.8115,0.7813,0.2150,0.3330,0.4637,0.6602,0.8127,0.7967
ExtraTreesRegressor,0.2196,0.3431,0.4687,0.6473,0.8049,0.7753,0.2292,0.3384,0.4787,0.6379,0.7991,0.7913
LinearRegression,0.6070,0.4885,0.7791,0.0254,0.5634,0.6441,0.4334,0.4419,0.6583,0.3152,0.6290,0.6754
KNeighborsRegressor,0.3169,0.4093,0.5629,0.4912,0.7131,0.6872,0.2944,0.3864,0.5426,0.5348,0.7372,0.7346
SVR,0.2802,0.3776,0.5293,0.5501,0.7446,0.7280,0.2795,0.3725,0.5286,0.5584,0.7501,0.7500
MLPRegressor,0.5149,0.5173,0.7175,0.1733,0.6181,0.6068,0.3020,0.3904,0.5496,0.5227,0.7440,0.7420
