,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2382,0.3571,0.4881,0.6175,0.7874,0.7580,0.2436,0.3568,0.4935,0.6151,0.7860,0.7739
DecisionTreeRegressor,0.3242,0.3893,0.5694,0.4795,0.7143,0.7161,0.2542,0.3524,0.5042,0.5983,0.7766,0.7752
RandomForestRegressor,0.2342,0.3512,0.4839,0.6240,0.7899,0.7649,0.2447,0.3492,0.4947,0.6133,0.7835,0.7791
GradientBoostingRegressor,0.2798,0.3954,0.5290,0.5507,0.7498,0.7107,0.2910,0.3977,0.5395,0.5401,0.7425,0.7310
AdaBoostRegressor,0.5206,0.5902,0.7215,0.1641,0.5374,0.4745,0.4873,0.5716,0.6981,0.2299,0.5885,0.5179
XGBRegressor,0.2346,0.3498,0.4843,0.6233,0.7902,0.7639,0.2380,0.3439,0.4878,0.6240,0.7906,0.7829
ExtraTreesRegressor,0.2234,0.3461,0.4727,0.6412,0.8009,0.7748,0.2318,0.3426,0.4814,0.6338,0.7966,0.7847
LinearRegression,0.4127,0.4729,0.6424,0.3373,0.5846,0.6074,0.3940,0.4630,0.6277,0.3773,0.6149,0.6450
KNeighborsRegressor,0.2751,0.3804,0.5245,0.5583,0.7538,0.7212,0.2642,0.3683,0.5140,0.5825,0.7674,0.7547
SVR,0.3351,0.4119,0.5789,0.4619,0.6875,0.6782,0.3466,0.4162,0.5888,0.4522,0.6811,0.6885
MLPRegressor,0.3108,0.4040,0.5575,0.5009,0.7112,0.6984,0.3032,0.3944,0.5506,0.5209,0.7234,0.7279
