,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4726,0.5227,0.6875,0.2411,0.4912,0.4080,0.4689,0.5256,0.6847,0.2591,0.5097,0.4451
DecisionTreeRegressor,0.4671,0.5164,0.6835,0.2500,0.5024,0.4188,0.4628,0.5179,0.6803,0.2687,0.5189,0.4717
RandomForestRegressor,0.4657,0.5160,0.6825,0.2522,0.5036,0.4189,0.4609,0.5184,0.6789,0.2717,0.5216,0.4683
GradientBoostingRegressor,0.4719,0.5233,0.6870,0.2422,0.4926,0.4081,0.4697,0.5260,0.6854,0.2578,0.5104,0.4564
AdaBoostRegressor,0.5591,0.5956,0.7477,0.1023,0.3975,0.3135,0.5430,0.5896,0.7369,0.1419,0.4403,0.3780
XGBRegressor,0.4687,0.5172,0.6846,0.2475,0.4998,0.4169,0.4634,0.5194,0.6807,0.2677,0.5178,0.4670
ExtraTreesRegressor,0.4686,0.5168,0.6845,0.2476,0.5003,0.4177,0.4630,0.5184,0.6804,0.2684,0.5186,0.4702
LinearRegression,0.4980,0.5378,0.7057,0.2005,0.4487,0.3847,0.4936,0.5374,0.7025,0.2201,0.4695,0.4263
KNeighborsRegressor,1.0221,0.7610,1.0110,-0.6411,0.1001,0.0460,1.0013,0.7524,1.0007,-0.5823,0.1097,0.0597
SVR,0.4984,0.5149,0.7060,0.1998,0.4685,0.3890,0.4985,0.5165,0.7060,0.2123,0.4837,0.4462
MLPRegressor,0.4875,0.5283,0.6982,0.2173,0.4715,0.4017,0.4712,0.5237,0.6864,0.2554,0.5056,0.4518
