,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2349,0.3560,0.4846,0.6229,0.7903,0.7605,0.2322,0.3497,0.4818,0.6331,0.7981,0.7837
DecisionTreeRegressor,0.3016,0.3854,0.5492,0.5158,0.7375,0.7210,0.2522,0.3502,0.5022,0.6015,0.7770,0.7758
RandomForestRegressor,0.2296,0.3519,0.4792,0.6313,0.7946,0.7663,0.2388,0.3478,0.4887,0.6226,0.7893,0.7841
GradientBoostingRegressor,0.2791,0.3916,0.5283,0.5519,0.7492,0.7135,0.2849,0.3911,0.5337,0.5499,0.7500,0.7272
AdaBoostRegressor,0.4779,0.5531,0.6913,0.2326,0.5649,0.5507,0.4447,0.5331,0.6669,0.2973,0.6130,0.5960
XGBRegressor,0.2199,0.3426,0.4690,0.6469,0.8044,0.7774,0.2234,0.3416,0.4726,0.6470,0.8046,0.7915
ExtraTreesRegressor,0.2241,0.3471,0.4734,0.6402,0.8005,0.7724,0.2305,0.3416,0.4801,0.6358,0.7976,0.7894
LinearRegression,0.3480,0.4224,0.5900,0.4412,0.6727,0.6714,0.3385,0.4161,0.5818,0.4651,0.6855,0.7046
KNeighborsRegressor,0.3187,0.4119,0.5646,0.4882,0.7084,0.6849,0.2985,0.3899,0.5464,0.5283,0.7331,0.7331
SVR,0.2948,0.3856,0.5429,0.5267,0.7282,0.7135,0.2857,0.3764,0.5345,0.5485,0.7425,0.7398
MLPRegressor,0.3507,0.4090,0.5922,0.4370,0.7010,0.7081,0.3086,0.3789,0.5555,0.5124,0.7337,0.7542
