,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4991,0.5412,0.7064,0.1987,0.4459,0.3539,0.5122,0.5527,0.7157,0.1906,0.4375,0.3684
DecisionTreeRegressor,0.4801,0.5286,0.6929,0.2291,0.4819,0.3767,0.5123,0.5452,0.7157,0.1905,0.4466,0.3938
RandomForestRegressor,0.4764,0.5282,0.6902,0.2351,0.4859,0.3771,0.5073,0.5443,0.7123,0.1984,0.4522,0.3955
GradientBoostingRegressor,0.4844,0.5341,0.6960,0.2222,0.4714,0.3706,0.4851,0.5405,0.6965,0.2334,0.4836,0.3987
AdaBoostRegressor,0.6364,0.6432,0.7977,-0.0218,0.3299,0.2879,0.6237,0.6423,0.7897,0.0144,0.3643,0.3780
XGBRegressor,0.4811,0.5290,0.6936,0.2275,0.4801,0.3781,0.5094,0.5444,0.7137,0.1950,0.4502,0.3953
ExtraTreesRegressor,0.4803,0.5287,0.6930,0.2288,0.4816,0.3768,0.5118,0.5448,0.7154,0.1913,0.4473,0.3940
LinearRegression,0.5023,0.5424,0.7087,0.1935,0.4403,0.3510,0.5078,0.5494,0.7126,0.1976,0.4452,0.3724
KNeighborsRegressor,1.0381,0.7543,1.0189,-0.6668,0.0616,-0.0051,1.0381,0.7533,1.0189,-0.6404,0.0303,-0.0355
SVR,0.5034,0.5206,0.7095,0.1916,0.4638,0.3698,0.5112,0.5297,0.7149,0.1923,0.4661,0.3884
MLPRegressor,0.4910,0.5372,0.7007,0.2116,0.4644,0.3783,0.4878,0.5408,0.6984,0.2292,0.4801,0.3983
