,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3678,0.4612,0.6065,0.4094,0.6409,0.5628,0.3699,0.4602,0.6082,0.4154,0.6467,0.5904
DecisionTreeRegressor,0.4212,0.4736,0.6490,0.3238,0.5983,0.5403,0.3858,0.4579,0.6212,0.3903,0.6312,0.5836
RandomForestRegressor,0.3593,0.4511,0.5994,0.4231,0.6518,0.5758,0.3631,0.4498,0.6025,0.4263,0.6534,0.5945
GradientBoostingRegressor,0.3875,0.4769,0.6225,0.3779,0.6174,0.5289,0.3957,0.4789,0.6291,0.3747,0.6146,0.5564
AdaBoostRegressor,0.6498,0.6542,0.8061,-0.0434,0.3735,0.3857,0.6339,0.6458,0.7962,-0.0017,0.3962,0.4374
XGBRegressor,0.3616,0.4525,0.6014,0.4193,0.6515,0.5702,0.3605,0.4490,0.6004,0.4303,0.6571,0.5946
ExtraTreesRegressor,0.4148,0.4723,0.6440,0.3340,0.6026,0.5420,0.3820,0.4562,0.6181,0.3963,0.6346,0.5847
LinearRegression,0.5150,0.5090,0.7176,0.1731,0.5220,0.5230,0.4325,0.4818,0.6577,0.3165,0.5828,0.5509
KNeighborsRegressor,0.4640,0.5059,0.6812,0.2549,0.5603,0.4793,0.4374,0.4891,0.6614,0.3088,0.5931,0.5366
SVR,0.3975,0.4630,0.6304,0.3618,0.6104,0.5473,0.3938,0.4586,0.6275,0.3778,0.6244,0.5773
MLPRegressor,0.4495,0.5046,0.6705,0.2782,0.5631,0.5203,0.4141,0.4867,0.6435,0.3457,0.5983,0.5575
