,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4022,0.4832,0.6342,0.3541,0.5951,0.5063,0.4168,0.4912,0.6456,0.3413,0.5844,0.5085
DecisionTreeRegressor,0.4247,0.4875,0.6517,0.3181,0.5775,0.4916,0.4258,0.4865,0.6525,0.3272,0.5771,0.5123
RandomForestRegressor,0.3957,0.4765,0.6291,0.3646,0.6054,0.5093,0.4128,0.4822,0.6425,0.3478,0.5910,0.5184
GradientBoostingRegressor,0.4182,0.4950,0.6467,0.3286,0.5751,0.4720,0.4263,0.5003,0.6529,0.3264,0.5743,0.4872
AdaBoostRegressor,0.5466,0.5924,0.7393,0.1224,0.4396,0.3900,0.5216,0.5829,0.7222,0.1757,0.4931,0.4354
XGBRegressor,0.4004,0.4779,0.6328,0.3571,0.6010,0.5051,0.4168,0.4845,0.6456,0.3414,0.5864,0.5197
ExtraTreesRegressor,0.4157,0.4847,0.6448,0.3325,0.5869,0.4949,0.4238,0.4862,0.6510,0.3303,0.5794,0.5156
LinearRegression,0.4682,0.5086,0.6842,0.2483,0.5241,0.4685,0.4554,0.5050,0.6749,0.2803,0.5401,0.4836
KNeighborsRegressor,0.5611,0.5645,0.7490,0.0991,0.4306,0.3397,0.5842,0.5658,0.7643,0.0769,0.4018,0.3517
SVR,0.4335,0.4835,0.6584,0.3039,0.5620,0.4759,0.4372,0.4838,0.6612,0.3091,0.5682,0.4905
MLPRegressor,0.4728,0.5136,0.6876,0.2408,0.5222,0.4597,0.4467,0.5006,0.6684,0.2941,0.5524,0.5032
