,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2413,0.3608,0.4912,0.6126,0.7841,0.7550,0.2534,0.3676,0.5034,0.5996,0.7753,0.7558
DecisionTreeRegressor,0.3072,0.3847,0.5542,0.5068,0.7319,0.7166,0.2759,0.3663,0.5253,0.5639,0.7558,0.7532
RandomForestRegressor,0.2309,0.3529,0.4806,0.6292,0.7932,0.7677,0.2501,0.3568,0.5001,0.6048,0.7778,0.7656
GradientBoostingRegressor,0.2908,0.4018,0.5392,0.5331,0.7368,0.6996,0.2951,0.4018,0.5432,0.5337,0.7352,0.7177
AdaBoostRegressor,0.4824,0.5583,0.6946,0.2254,0.5681,0.5331,0.4544,0.5399,0.6741,0.2819,0.6097,0.5852
XGBRegressor,0.2265,0.3475,0.4760,0.6363,0.7977,0.7696,0.2397,0.3507,0.4896,0.6213,0.7883,0.7694
ExtraTreesRegressor,0.2261,0.3491,0.4754,0.6370,0.7985,0.7724,0.2349,0.3469,0.4846,0.6289,0.7933,0.7784
LinearRegression,0.3724,0.4351,0.6102,0.4021,0.6440,0.6553,0.3547,0.4320,0.5956,0.4395,0.6658,0.6876
KNeighborsRegressor,0.3143,0.4077,0.5606,0.4954,0.7155,0.6774,0.3093,0.3975,0.5562,0.5112,0.7245,0.7091
SVR,0.2734,0.3721,0.5229,0.5610,0.7525,0.7299,0.2808,0.3763,0.5299,0.5563,0.7482,0.7343
MLPRegressor,0.2736,0.3693,0.5231,0.5607,0.7602,0.7439,0.2694,0.3613,0.5191,0.5742,0.7670,0.7734
