,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2945,0.4061,0.5427,0.5272,0.7273,0.6904,0.3039,0.4100,0.5512,0.5198,0.7221,0.6930
DecisionTreeRegressor,0.3707,0.4267,0.6088,0.4049,0.6675,0.6482,0.3238,0.4080,0.5691,0.4883,0.7065,0.6905
RandomForestRegressor,0.2844,0.3957,0.5332,0.5434,0.7373,0.7043,0.2941,0.3964,0.5423,0.5353,0.7320,0.7098
GradientBoostingRegressor,0.3361,0.4394,0.5797,0.4603,0.6832,0.6383,0.3397,0.4408,0.5828,0.4633,0.6860,0.6582
AdaBoostRegressor,0.5221,0.5800,0.7225,0.1618,0.4970,0.4473,0.4989,0.5676,0.7063,0.2117,0.5393,0.5001
XGBRegressor,0.2736,0.3893,0.5231,0.5607,0.7491,0.7086,0.2886,0.3958,0.5372,0.5440,0.7379,0.7089
ExtraTreesRegressor,0.3564,0.4221,0.5970,0.4277,0.6779,0.6543,0.3251,0.4086,0.5702,0.4863,0.7051,0.6911
LinearRegression,0.3829,0.4566,0.6188,0.3852,0.6295,0.6179,0.3729,0.4497,0.6107,0.4107,0.6445,0.6417
KNeighborsRegressor,0.3777,0.4540,0.6145,0.3936,0.6424,0.5912,0.3853,0.4486,0.6207,0.3911,0.6399,0.6194
SVR,0.3191,0.4130,0.5649,0.4877,0.7027,0.6689,0.3181,0.4081,0.5640,0.4974,0.7096,0.6886
MLPRegressor,0.3297,0.4131,0.5742,0.4706,0.6980,0.6767,0.3019,0.3972,0.5495,0.5229,0.7271,0.7073
