,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3553,0.4411,0.5961,0.4295,0.6556,0.6289,0.3533,0.4429,0.5944,0.4417,0.6659,0.6406
DecisionTreeRegressor,0.3924,0.4485,0.6264,0.3700,0.6273,0.6161,0.3546,0.4322,0.5955,0.4397,0.6664,0.6539
RandomForestRegressor,0.3541,0.4352,0.5951,0.4315,0.6594,0.6355,0.3407,0.4270,0.5837,0.4616,0.6801,0.6608
GradientBoostingRegressor,0.3798,0.4629,0.6163,0.3901,0.6283,0.5999,0.3767,0.4604,0.6137,0.4048,0.6420,0.6189
AdaBoostRegressor,0.5675,0.6090,0.7533,0.0888,0.4445,0.4238,0.5382,0.5969,0.7336,0.1495,0.4976,0.4551
XGBRegressor,0.3528,0.4338,0.5940,0.4335,0.6617,0.6367,0.3460,0.4321,0.5882,0.4532,0.6741,0.6652
ExtraTreesRegressor,0.3844,0.4460,0.6200,0.3827,0.6339,0.6198,0.3529,0.4317,0.5940,0.4424,0.6681,0.6561
LinearRegression,0.4301,0.4888,0.6558,0.3095,0.5584,0.5543,0.4260,0.4877,0.6527,0.3269,0.5728,0.5694
KNeighborsRegressor,0.5583,0.5356,0.7472,0.1035,0.4526,0.4219,0.5570,0.5280,0.7463,0.1198,0.4587,0.4266
SVR,0.3756,0.4340,0.6129,0.3969,0.6373,0.6202,0.3800,0.4337,0.6164,0.3996,0.6396,0.6378
MLPRegressor,0.3943,0.4552,0.6279,0.3669,0.6170,0.6128,0.3698,0.4454,0.6082,0.4156,0.6466,0.6412
