,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2626,0.3764,0.5124,0.5784,0.7616,0.7391,0.2628,0.3762,0.5126,0.5848,0.7669,0.7480
DecisionTreeRegressor,0.3357,0.3992,0.5794,0.4611,0.7055,0.6982,0.2745,0.3668,0.5239,0.5662,0.7566,0.7579
RandomForestRegressor,0.2484,0.3649,0.4984,0.6012,0.7755,0.7531,0.2495,0.3600,0.4995,0.6057,0.7784,0.7689
GradientBoostingRegressor,0.3076,0.4107,0.5547,0.5060,0.7167,0.6880,0.3165,0.4154,0.5626,0.4998,0.7133,0.6994
AdaBoostRegressor,0.4891,0.5599,0.6994,0.2147,0.5377,0.5077,0.4615,0.5426,0.6793,0.2707,0.5873,0.5623
XGBRegressor,0.2449,0.3626,0.4949,0.6068,0.7793,0.7501,0.2488,0.3608,0.4988,0.6068,0.7791,0.7700
ExtraTreesRegressor,0.3202,0.3947,0.5658,0.4859,0.7155,0.7040,0.2690,0.3643,0.5187,0.5749,0.7616,0.7630
LinearRegression,0.3860,0.4349,0.6213,0.3802,0.6491,0.6659,0.3492,0.4182,0.5909,0.4482,0.6781,0.6906
KNeighborsRegressor,0.3391,0.4229,0.5823,0.4555,0.6885,0.6678,0.3121,0.3951,0.5587,0.5068,0.7195,0.7233
SVR,0.3028,0.3941,0.5502,0.5139,0.7198,0.7010,0.2927,0.3834,0.5411,0.5374,0.7358,0.7295
MLPRegressor,0.3578,0.4143,0.5982,0.4255,0.6890,0.6962,0.2895,0.3773,0.5381,0.5425,0.7421,0.7494
