,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3760,0.4697,0.6132,0.3963,0.6296,0.5375,0.3716,0.4657,0.6096,0.4128,0.6432,0.5700
DecisionTreeRegressor,0.4094,0.4759,0.6398,0.3427,0.6012,0.5261,0.3819,0.4573,0.6180,0.3965,0.6338,0.5734
RandomForestRegressor,0.3698,0.4633,0.6081,0.4062,0.6384,0.5470,0.3641,0.4543,0.6034,0.4247,0.6521,0.5788
GradientBoostingRegressor,0.3821,0.4777,0.6181,0.3865,0.6243,0.5217,0.3843,0.4765,0.6199,0.3928,0.6296,0.5532
AdaBoostRegressor,0.6210,0.6411,0.7880,0.0029,0.4036,0.3920,0.6112,0.6363,0.7818,0.0342,0.4205,0.4286
XGBRegressor,0.3730,0.4638,0.6107,0.4012,0.6364,0.5410,0.3613,0.4502,0.6011,0.4290,0.6557,0.5855
ExtraTreesRegressor,0.4022,0.4732,0.6342,0.3542,0.6078,0.5306,0.3819,0.4575,0.6180,0.3965,0.6340,0.5730
LinearRegression,0.4201,0.4887,0.6481,0.3255,0.5767,0.5119,0.4040,0.4861,0.6356,0.3616,0.6033,0.5448
KNeighborsRegressor,0.5654,0.5673,0.7520,0.0921,0.4792,0.3955,0.5498,0.5558,0.7415,0.1312,0.5023,0.4487
SVR,0.3949,0.4669,0.6284,0.3659,0.6141,0.5267,0.3964,0.4618,0.6296,0.3737,0.6216,0.5617
MLPRegressor,0.4137,0.4817,0.6432,0.3358,0.5879,0.5190,0.3864,0.4674,0.6216,0.3894,0.6251,0.5746
