,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2624,0.3780,0.5123,0.5786,0.7625,0.7254,0.2618,0.3729,0.5117,0.5862,0.7692,0.7488
DecisionTreeRegressor,0.3161,0.3899,0.5622,0.4924,0.7201,0.7034,0.2686,0.3632,0.5182,0.5756,0.7619,0.7516
RandomForestRegressor,0.2431,0.3602,0.4930,0.6097,0.7809,0.7495,0.2573,0.3594,0.5072,0.5934,0.7706,0.7611
GradientBoostingRegressor,0.3179,0.4239,0.5639,0.4895,0.7103,0.6768,0.3272,0.4238,0.5720,0.4829,0.7046,0.6949
AdaBoostRegressor,0.5313,0.5965,0.7289,0.1469,0.5036,0.4280,0.5045,0.5797,0.7103,0.2028,0.5512,0.4800
XGBRegressor,0.2417,0.3576,0.4916,0.6120,0.7829,0.7483,0.2528,0.3559,0.5028,0.6005,0.7752,0.7604
ExtraTreesRegressor,0.2432,0.3592,0.4931,0.6096,0.7812,0.7485,0.2583,0.3596,0.5082,0.5919,0.7702,0.7621
LinearRegression,0.4397,0.4876,0.6631,0.2941,0.5434,0.5641,0.4438,0.4866,0.6662,0.2986,0.5468,0.5764
KNeighborsRegressor,0.3150,0.4064,0.5613,0.4942,0.7102,0.6787,0.3046,0.3961,0.5519,0.5187,0.7258,0.7108
SVR,0.3542,0.4244,0.5952,0.4312,0.6679,0.6616,0.3653,0.4221,0.6044,0.4227,0.6592,0.6783
MLPRegressor,0.3377,0.4116,0.5811,0.4577,0.6842,0.6868,0.3258,0.3953,0.5708,0.4851,0.7010,0.7361
