,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4717,0.5262,0.6868,0.2427,0.4926,0.3835,0.4731,0.5264,0.6878,0.2524,0.5025,0.4199
DecisionTreeRegressor,0.4554,0.5131,0.6748,0.2688,0.5213,0.3941,0.4728,0.5169,0.6876,0.2529,0.5075,0.4394
RandomForestRegressor,0.4526,0.5125,0.6727,0.2733,0.5237,0.3968,0.4685,0.5168,0.6845,0.2597,0.5119,0.4385
GradientBoostingRegressor,0.4615,0.5206,0.6794,0.2589,0.5091,0.3928,0.4742,0.5265,0.6886,0.2506,0.5008,0.4143
AdaBoostRegressor,0.5497,0.5959,0.7414,0.1174,0.4256,0.3161,0.5456,0.5961,0.7386,0.1378,0.4424,0.3875
XGBRegressor,0.4537,0.5127,0.6736,0.2715,0.5230,0.3969,0.4696,0.5165,0.6853,0.2579,0.5108,0.4362
ExtraTreesRegressor,0.4559,0.5136,0.6752,0.2679,0.5202,0.3942,0.4723,0.5166,0.6873,0.2536,0.5079,0.4399
LinearRegression,0.4785,0.5295,0.6917,0.2318,0.4826,0.3795,0.4784,0.5298,0.6917,0.2440,0.4941,0.4080
KNeighborsRegressor,0.7096,0.6317,0.8424,-0.1393,0.2377,0.1502,0.7094,0.6324,0.8423,-0.1211,0.2195,0.1702
SVR,0.4760,0.5089,0.6899,0.2357,0.5021,0.3978,0.4869,0.5111,0.6978,0.2306,0.4988,0.4273
MLPRegressor,0.4745,0.5223,0.6889,0.2381,0.4939,0.3905,0.4826,0.5210,0.6947,0.2374,0.4950,0.4429
