,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4320,0.4836,0.6573,0.3063,0.5594,0.4943,0.4323,0.4803,0.6575,0.3169,0.5685,0.5282
LGBMRegressor,0.4231,0.4885,0.6505,0.3206,0.5662,0.4961,0.4191,0.4809,0.6474,0.3377,0.5814,0.5292
XGBRegressor,0.4300,0.4832,0.6557,0.3096,0.5620,0.4931,0.4226,0.4755,0.6500,0.3323,0.5795,0.5322
DecisionTreeRegressor,0.4558,0.4910,0.6752,0.2681,0.5364,0.4785,0.4409,0.4839,0.6640,0.3034,0.5599,0.5219
RandomForestRegressor,0.4219,0.4814,0.6496,0.3226,0.5699,0.4953,0.4262,0.4787,0.6528,0.3266,0.5739,0.5325
GradientBoostingRegressor,0.4433,0.5038,0.6658,0.2883,0.5377,0.4703,0.4363,0.4972,0.6605,0.3106,0.5597,0.5123
AdaBoostRegressor,0.5377,0.5881,0.7333,0.1367,0.4386,0.3955,0.5202,0.5811,0.7213,0.1779,0.4770,0.4540
SVR,0.4778,0.4995,0.6912,0.2329,0.5027,0.4557,0.4609,0.4906,0.6789,0.2716,0.5406,0.4884
LinearRegression,0.5534,0.5745,0.7439,0.1115,0.3339,0.3312,0.5555,0.5736,0.7453,0.1221,0.3502,0.3441
KNeighborsRegressor,0.6313,0.5849,0.7946,-0.0137,0.4307,0.3815,0.6007,0.5677,0.7751,0.0507,0.4589,0.4423
MLPRegressor,0.4688,0.5163,0.6847,0.2472,0.4979,0.4468,0.4514,0.5043,0.6719,0.2867,0.5383,0.4959
