,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3889,0.4635,0.6236,0.3756,0.6142,0.5286,0.4046,0.4665,0.6361,0.3606,0.6028,0.5487
LGBMRegressor,0.3945,0.4723,0.6281,0.3666,0.6055,0.5264,0.4022,0.4697,0.6342,0.3645,0.6037,0.5489
XGBRegressor,0.3997,0.4704,0.6322,0.3583,0.6006,0.5190,0.4010,0.4632,0.6333,0.3663,0.6063,0.5524
DecisionTreeRegressor,0.4287,0.4822,0.6547,0.3117,0.5720,0.4987,0.4105,0.4696,0.6407,0.3514,0.5961,0.5430
RandomForestRegressor,0.3914,0.4671,0.6256,0.3716,0.6099,0.5288,0.4030,0.4663,0.6348,0.3632,0.6032,0.5483
GradientBoostingRegressor,0.4115,0.4887,0.6415,0.3392,0.5838,0.4987,0.4243,0.4899,0.6514,0.3295,0.5746,0.5231
AdaBoostRegressor,0.5533,0.5967,0.7438,0.1116,0.4306,0.3858,0.5405,0.5939,0.7352,0.1458,0.4498,0.4328
SVR,0.4200,0.4721,0.6481,0.3256,0.5822,0.5071,0.4340,0.4680,0.6588,0.3141,0.5729,0.5254
LinearRegression,0.4971,0.5382,0.7051,0.2018,0.4494,0.4145,0.4887,0.5294,0.6991,0.2278,0.4777,0.4461
KNeighborsRegressor,0.5524,0.5548,0.7432,0.1130,0.5079,0.4470,0.5472,0.5442,0.7397,0.1353,0.5194,0.4883
MLPRegressor,0.4302,0.4892,0.6559,0.3093,0.5611,0.5020,0.4350,0.4851,0.6595,0.3126,0.5628,0.5222
