,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4258,0.4766,0.6525,0.3164,0.5756,0.5533,0.4170,0.4730,0.6457,0.3411,0.5889,0.5887
LGBMRegressor,0.4141,0.4750,0.6435,0.3351,0.5789,0.5587,0.4217,0.4793,0.6494,0.3337,0.5779,0.5790
XGBRegressor,0.4199,0.4734,0.6480,0.3258,0.5782,0.5587,0.4160,0.4738,0.6450,0.3426,0.5880,0.5932
DecisionTreeRegressor,0.4471,0.4836,0.6687,0.2821,0.5556,0.5410,0.4302,0.4782,0.6559,0.3202,0.5759,0.5829
RandomForestRegressor,0.4176,0.4743,0.6462,0.3294,0.5819,0.5539,0.4158,0.4734,0.6448,0.3429,0.5888,0.5863
GradientBoostingRegressor,0.4363,0.4902,0.6605,0.2995,0.5492,0.5422,0.4334,0.4866,0.6583,0.3152,0.5661,0.5672
AdaBoostRegressor,0.5762,0.6014,0.7591,0.0749,0.3905,0.3941,0.5503,0.5930,0.7418,0.1304,0.4476,0.4397
SVR,0.4635,0.4803,0.6808,0.2558,0.5261,0.5353,0.4630,0.4839,0.6804,0.2684,0.5368,0.5524
LinearRegression,0.5270,0.5342,0.7260,0.1538,0.3922,0.4645,0.5477,0.5426,0.7401,0.1345,0.3682,0.4534
KNeighborsRegressor,0.5076,0.5149,0.7125,0.1850,0.5042,0.4922,0.4691,0.4966,0.6849,0.2588,0.5357,0.5318
MLPRegressor,0.4486,0.4948,0.6698,0.2797,0.5298,0.5290,0.4404,0.4926,0.6637,0.3040,0.5514,0.5602
