,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3242,0.4079,0.5694,0.4794,0.7076,0.6773,0.2867,0.3838,0.5354,0.5470,0.7451,0.7145
LGBMRegressor,0.3008,0.4004,0.5485,0.5170,0.7202,0.6958,0.3008,0.4033,0.5484,0.5247,0.7259,0.7057
XGBRegressor,0.2699,0.3799,0.5195,0.5666,0.7528,0.7135,0.2559,0.3704,0.5058,0.5957,0.7728,0.7435
DecisionTreeRegressor,0.4315,0.4626,0.6569,0.3071,0.6344,0.6085,0.3207,0.4008,0.5663,0.4932,0.7186,0.6920
RandomForestRegressor,0.2923,0.3911,0.5407,0.5306,0.7304,0.6935,0.2736,0.3791,0.5231,0.5676,0.7538,0.7218
GradientBoostingRegressor,0.3347,0.4324,0.5786,0.4625,0.6905,0.6539,0.3365,0.4335,0.5801,0.4682,0.6959,0.6736
AdaBoostRegressor,0.5151,0.5703,0.7177,0.1730,0.4929,0.4360,0.4921,0.5640,0.7015,0.2223,0.5416,0.4927
SVR,0.3201,0.4012,0.5657,0.4861,0.7012,0.6885,0.3163,0.3982,0.5624,0.5002,0.7107,0.6991
LinearRegression,0.3840,0.4460,0.6196,0.3835,0.6264,0.6372,0.3637,0.4399,0.6031,0.4253,0.6543,0.6680
KNeighborsRegressor,0.3698,0.4459,0.6081,0.4062,0.6521,0.6158,0.3448,0.4277,0.5872,0.4551,0.6821,0.6522
MLPRegressor,0.4077,0.4313,0.6385,0.3454,0.6484,0.6709,0.3650,0.4198,0.6042,0.4232,0.6814,0.6916
