,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2794,0.3866,0.5286,0.5514,0.7426,0.7083,0.2726,0.3798,0.5221,0.5692,0.7548,0.7267
LGBMRegressor,0.2694,0.3732,0.5191,0.5674,0.7552,0.7209,0.2516,0.3656,0.5016,0.6025,0.7763,0.7456
XGBRegressor,0.2699,0.3799,0.5195,0.5666,0.7528,0.7135,0.2559,0.3704,0.5058,0.5957,0.7728,0.7435
DecisionTreeRegressor,0.3572,0.4278,0.5977,0.4264,0.6740,0.6369,0.2845,0.3842,0.5334,0.5504,0.7431,0.7150
RandomForestRegressor,0.2798,0.3845,0.5290,0.5507,0.7422,0.7077,0.2666,0.3769,0.5163,0.5788,0.7612,0.7328
GradientBoostingRegressor,0.2629,0.3712,0.5127,0.5779,0.7605,0.7257,0.2495,0.3645,0.4995,0.6057,0.7784,0.7465
AdaBoostRegressor,0.4825,0.5214,0.6946,0.2253,0.4749,0.4591,0.4732,0.5162,0.6879,0.2522,0.5047,0.5209
SVR,0.3118,0.3997,0.5584,0.4993,0.7084,0.6880,0.3147,0.3986,0.5609,0.5028,0.7107,0.6959
LinearRegression,0.3994,0.4479,0.6319,0.3588,0.6116,0.6371,0.3637,0.4399,0.6031,0.4253,0.6543,0.6680
KNeighborsRegressor,0.3548,0.4380,0.5957,0.4303,0.6612,0.6292,0.3452,0.4271,0.5875,0.4545,0.6775,0.6504
MLPRegressor,1.4668,0.5407,1.2111,-1.3551,0.3818,0.6638,0.3456,0.4092,0.5879,0.4538,0.6936,0.7038
