,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3240,0.4080,0.5692,0.4798,0.7077,0.6780,0.2870,0.3841,0.5357,0.5465,0.7448,0.7132
LGBMRegressor,0.3008,0.4004,0.5485,0.5170,0.7202,0.6958,0.3008,0.4033,0.5484,0.5247,0.7259,0.7057
XGBRegressor,0.2699,0.3799,0.5195,0.5666,0.7528,0.7135,0.2559,0.3704,0.5058,0.5957,0.7728,0.7435
DecisionTreeRegressor,0.4343,0.4638,0.6590,0.3028,0.6320,0.6051,0.3224,0.4017,0.5678,0.4906,0.7168,0.6916
RandomForestRegressor,0.2928,0.3913,0.5411,0.5298,0.7298,0.6930,0.2742,0.3794,0.5236,0.5667,0.7533,0.7215
GradientBoostingRegressor,0.3347,0.4324,0.5785,0.4626,0.6906,0.6539,0.3367,0.4335,0.5802,0.4680,0.6956,0.6735
AdaBoostRegressor,0.5216,0.5764,0.7222,0.1625,0.4923,0.4384,0.4970,0.5692,0.7050,0.2146,0.5446,0.4979
SVR,0.3201,0.4012,0.5657,0.4861,0.7012,0.6885,0.3163,0.3982,0.5624,0.5002,0.7107,0.6991
LinearRegression,0.3840,0.4460,0.6196,0.3835,0.6264,0.6372,0.3637,0.4399,0.6031,0.4253,0.6543,0.6680
KNeighborsRegressor,0.3702,0.4459,0.6084,0.4056,0.6520,0.6163,0.3449,0.4280,0.5873,0.4550,0.6821,0.6512
MLPRegressor,0.4053,0.4338,0.6367,0.3492,0.6452,0.6685,0.3461,0.4146,0.5883,0.4530,0.6930,0.6888
