,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1288,0.2609,0.3589,0.7932,0.8906,0.8738,0.1985,0.3147,0.4455,0.6863,0.8286,0.8124
DecisionTreeRegressor,0.2720,0.3786,0.5215,0.5633,0.7832,0.7620,0.2193,0.3358,0.4683,0.6535,0.8106,0.7844
RandomForestRegressor,0.1326,0.2642,0.3642,0.7870,0.8872,0.8693,0.2011,0.3169,0.4485,0.6821,0.8260,0.8087
GradientBoostingRegressor,0.1299,0.2644,0.3605,0.7914,0.8896,0.8689,0.2027,0.3194,0.4503,0.6796,0.8247,0.8051
AdaBoostRegressor,0.1697,0.3229,0.4120,0.7275,0.8612,0.8329,0.2273,0.3650,0.4767,0.6409,0.8074,0.7814
XGBRegressor,0.1492,0.2813,0.3863,0.7604,0.8732,0.8549,0.1980,0.3115,0.4450,0.6871,0.8293,0.8152
ExtraTreesRegressor,0.1352,0.2646,0.3677,0.7830,0.8849,0.8686,0.1976,0.3149,0.4445,0.6878,0.8294,0.8127
LinearRegression,0.6014,0.4391,0.7755,0.0343,0.6303,0.7483,0.3642,0.3899,0.6035,0.4245,0.7083,0.7477
KNeighborsRegressor,0.1908,0.3176,0.4369,0.6936,0.8360,0.8131,0.2284,0.3371,0.4779,0.6391,0.8026,0.7938
SVR,0.1490,0.2769,0.3860,0.7608,0.8728,0.8588,0.2070,0.3213,0.4550,0.6728,0.8208,0.8087
MLPRegressor,0.2948,0.3957,0.5430,0.5266,0.7657,0.7578,0.2634,0.3653,0.5132,0.5838,0.7762,0.7620
