,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1279,0.2600,0.3577,0.7946,0.8914,0.8732,0.1988,0.3154,0.4459,0.6858,0.8283,0.8123
DecisionTreeRegressor,0.2666,0.3749,0.5163,0.5720,0.7860,0.7634,0.2284,0.3426,0.4779,0.6391,0.8022,0.7848
RandomForestRegressor,0.1323,0.2638,0.3637,0.7876,0.8875,0.8699,0.2023,0.3181,0.4498,0.6803,0.8249,0.8080
GradientBoostingRegressor,0.1299,0.2653,0.3604,0.7914,0.8896,0.8690,0.2032,0.3202,0.4508,0.6788,0.8242,0.8045
AdaBoostRegressor,0.1682,0.3204,0.4102,0.7299,0.8617,0.8315,0.2263,0.3642,0.4757,0.6424,0.8080,0.7796
XGBRegressor,0.1475,0.2795,0.3840,0.7632,0.8748,0.8597,0.1984,0.3122,0.4455,0.6864,0.8289,0.8139
ExtraTreesRegressor,0.1333,0.2635,0.3651,0.7860,0.8866,0.8701,0.2001,0.3171,0.4474,0.6837,0.8270,0.8109
LinearRegression,0.1312,0.2683,0.3622,0.7893,0.8889,0.8691,0.2141,0.3260,0.4627,0.6617,0.8150,0.7988
KNeighborsRegressor,0.1617,0.2929,0.4021,0.7404,0.8628,0.8403,0.2119,0.3270,0.4603,0.6652,0.8181,0.7990
SVR,0.1310,0.2598,0.3619,0.7897,0.8888,0.8732,0.1998,0.3134,0.4469,0.6843,0.8277,0.8143
MLPRegressor,0.2152,0.3402,0.4639,0.6544,0.8241,0.8102,0.2531,0.3502,0.5031,0.6000,0.7839,0.7658
