Feature,t-statistic,p-value
AtomTypeEState.271,-12.57269727465312,2.245203737429577e-35
minsOH,-11.218502929727135,7.858453945279241e-29
CrippenLogP,-10.337144553518884,1.4702414842193522e-24
MolLogP,-10.043869628064819,2.6638102672079906e-23
MolecularId.7,9.892296605562194,1.139399204421589e-22
PEOE_VSA6,-8.810146911041864,2.1379951580405585e-18
BCUT2D_MWLOW,8.788786900783824,2.5636032479340102e-18
RHSA,-8.361643015193415,1.139955244228582e-16
MATS.58,-7.3599918002821445,2.2496167977136876e-13
TopologicalCharge.12,-5.913245534550107,3.758196703374052e-09
EtaVEMCount.3,4.033567105525885,5.633765955268814e-05
minssCH2,3.908677517963054,9.44932659419733e-05
RotatableBondsRatio,3.7677611548149534,0.00016803330455217192
TDB2i,-2.1660763578737914,0.03044249415570312
XLogP,2.078152724060426,0.037790594256998086
TDB1i,-1.0320633204721432,0.30218801586403166
TDB1e,-0.6745452908639719,0.5000555850496211
TDB6u,-0.47959380578946476,0.6315764510656112
TDB5i,-0.28151372980667294,0.7783501006382249
TDB5u,-0.1702173182500184,0.8648589348966279
