,Train MSE (15 fold CV),Train MAE (15 fold CV),Train RMSE (15 fold CV),Train R2 (15 fold CV),Train PCC (15 fold CV),Train SCC (15 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.17755492573633994,0.3251937156441542,0.421372668473336,0.6039218449788453,0.778703820023052,0.7871757903284077,0.34083173670845707,0.4079626069845127,0.5838079621831627,0.5284829835790373,0.7812270017895613,0.8165551046033602
DecisionTreeRegressor,0.25200535714285716,0.36128571428571427,0.5020013517340935,0.437842591532445,0.7111944920929973,0.728035347227926,0.27260670987654345,0.38779629629629647,0.5221175249659251,0.6228675658591235,0.8391518005513771,0.8292463307057742
RandomForestRegressor,0.1534348314642855,0.29640142857142787,0.3917075841291377,0.6577274062641347,0.8110336283544091,0.8252759785253352,0.3192583654567904,0.3812285185185183,0.5650295261814116,0.5583282431342789,0.8053276272909036,0.8542189771132439
GradientBoostingRegressor,0.16564888163104294,0.321391979645176,0.40699985458356486,0.6304810855252277,0.7947894113807986,0.8002458000849958,0.29895473262402045,0.37808430487819666,0.5467675306965661,0.5864169078468712,0.8134512605003841,0.8450795034280358
AdaBoostRegressor,0.15637103997006327,0.29768533019735877,0.3954377826789737,0.6511775004087892,0.8071541564440812,0.8158141628616709,0.33708638958663156,0.3954525139860091,0.5805914136349517,0.5336644109818928,0.783664929398384,0.8337517050576374
XGBRegressor,0.18612873677226885,0.3320561009815761,0.43142639786210213,0.5847959365168436,0.7706731964860988,0.7789524683398559,0.36401067609529897,0.4144508732689751,0.6033329728228841,0.4964165321122985,0.7456242271212552,0.7800733877797255
ExtraTreesRegressor,0.1446585989642857,0.28527928571428557,0.380340109591778,0.6773048635620438,0.8234099821471161,0.8338178980324868,0.319114091801235,0.38594037037037077,0.5649018426251016,0.558527835708235,0.8117539949912139,0.8583381765206617
LinearRegression,0.1792088472307898,0.3252407724784603,0.42333065945049364,0.6002323828512538,0.7858573433572167,0.7967228291500423,0.2669545238255562,0.35554987726508586,0.5166764208143779,0.6306869723755343,0.8128130263044713,0.8262856561316928
KNeighborsRegressor,0.17776433571428565,0.31932142857142853,0.4216210807280462,0.6034547066138363,0.779103008871103,0.7967131925693339,0.3462911114814817,0.4206796296296298,0.5884650469496737,0.5209303180633187,0.7794277978104794,0.7962152486160781
SVR,0.15778525278808145,0.30593659298912146,0.3972219188162726,0.6480227650420008,0.8050653225183763,0.815531688871666,0.3276348192890191,0.3845963245225431,0.572393937152569,0.5467400015071827,0.7690499100397635,0.8217802817798296
MLPRegressor,0.5849572273732762,0.6632915918373474,0.7648249651869872,-0.3048851132879491,0.6345404450887839,0.672152676239615,0.5070863140525222,0.6066800344673513,0.7120999326306121,0.2984813322285438,0.6714846628912785,0.7593486657611553
