,Train MSE (15 fold CV),Train MAE (15 fold CV),Train RMSE (15 fold CV),Train R2 (15 fold CV),Train PCC (15 fold CV),Train SCC (15 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.17148769620723003,0.3064946533755152,0.41411072940365845,0.6174562319749469,0.7865064942550135,0.8138421649481845,0.3893706010697914,0.41746242315043613,0.6239956739191317,0.46133283868600083,0.7553463194242402,0.7959577820845934
DecisionTreeRegressor,0.40344660714285724,0.4551071428571429,0.6351744698449846,0.10001715162790215,0.5742600580949542,0.6063639602217353,0.4194882500000002,0.4569722222222222,0.6476791258022758,0.419667164877774,0.684561154420966,0.7495655671685382
RandomForestRegressor,0.1552031672499999,0.29157214285714295,0.3939583318702625,0.6537827160644174,0.8086050270862497,0.831773219060307,0.3779875726243824,0.40818416666666635,0.6148069393105305,0.47708046730253817,0.7378810747556969,0.7865096368538157
GradientBoostingRegressor,0.18241984578441242,0.3075746333616809,0.4271063635494236,0.5930694929589001,0.775060781943911,0.7992735379899794,0.3833648975796968,0.4139413402048274,0.6191646772706731,0.46964131200631454,0.7247495122537478,0.7892128614649335
AdaBoostRegressor,0.1764036016826638,0.32011867898438906,0.4200042876955708,0.6064901449295246,0.779685830752864,0.810350069472931,0.385661268458603,0.413044766033214,0.6210163189954053,0.4664644425167691,0.7411626243042608,0.7709339140945174
XGBRegressor,0.21836288928018777,0.34182496724809913,0.46729315133028404,0.5128900538663912,0.7282816365872677,0.7458813944717451,0.40820415689097644,0.43994892438252764,0.6389085669256411,0.43527792333344684,0.699888532781678,0.7563879911870738
ExtraTreesRegressor,0.15195086066071406,0.2902203571428568,0.38980874882525923,0.6610377532767353,0.8130481196820412,0.8296563749479327,0.3726851652308636,0.40085703703703696,0.610479455207842,0.4844159793595596,0.7519673002628088,0.7998970349279232
LinearRegression,0.1728261323975075,0.3116643851962288,0.41572362501727933,0.6144705342554375,0.7911881982952264,0.8084026477494136,0.3147752766196534,0.40481035108288943,0.5610483727983295,0.5645302849196221,0.777834957330355,0.8118684582057308
KNeighborsRegressor,0.17934976428571428,0.3091785714285715,0.4234970652622215,0.5999180341115946,0.7774702827705389,0.7946789897249047,0.4103544995061729,0.4461925925925927,0.640589181540067,0.43230307379627597,0.700690291246858,0.756902891113001
SVR,0.1728290828695784,0.3082296488226172,0.415727173600161,0.6144639525313349,0.7842859457054591,0.8120940040114878,0.3948408529297411,0.4142995434104328,0.6283636311322777,0.453765125476591,0.7089443104449802,0.7783999630204621
MLPRegressor,0.6068568833097804,0.6826569480196195,0.7790101946122274,-0.35373746296485464,0.691561889998176,0.7167922825060387,0.5429536347419252,0.6547384356888137,0.7368538761124387,0.24886138720286233,0.7262442561457717,0.7710626390759994
