,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3421,0.4637,0.5849,0.2368,0.4873,0.4858,0.6364,0.5452,0.7978,0.1196,0.5592,0.6038
DecisionTreeRegressor,0.3953,0.4518,0.6287,0.1183,0.5309,0.5840,0.3749,0.4312,0.6123,0.4813,0.7249,0.7750
RandomForestRegressor,0.2706,0.4007,0.5202,0.3964,0.6348,0.6594,0.4167,0.4521,0.6455,0.4235,0.7715,0.8072
GradientBoostingRegressor,0.2490,0.3752,0.4990,0.4446,0.6705,0.6890,0.3446,0.4103,0.5871,0.5232,0.7969,0.8081
AdaBoostRegressor,0.3068,0.4388,0.5539,0.3157,0.5716,0.6341,0.4961,0.5137,0.7043,0.3137,0.7565,0.8094
XGBRegressor,0.2726,0.4097,0.5221,0.3920,0.6403,0.6462,0.3790,0.4327,0.6156,0.4757,0.7633,0.7975
ExtraTreesRegressor,0.2224,0.3723,0.4716,0.5039,0.7155,0.7322,0.3485,0.4001,0.5904,0.5178,0.7723,0.8025
LinearRegression,0.5002,0.5224,0.7073,-0.1159,0.3531,0.4631,0.6137,0.5955,0.7834,0.1509,0.5205,0.5048
KNeighborsRegressor,0.3111,0.4221,0.5578,0.3060,0.5945,0.6121,0.4769,0.4890,0.6905,0.3403,0.6980,0.7151
SVR,0.2766,0.4138,0.5260,0.3829,0.6245,0.6147,0.5527,0.5113,0.7434,0.2354,0.6150,0.6317
MLPRegressor,0.8453,0.6689,0.9194,-0.8857,0.3281,0.3692,1.9037,1.0357,1.3797,-1.6336,0.0402,-0.0730
