,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3369,0.4381,0.5804,0.2485,0.5032,0.5278,0.6234,0.5624,0.7896,0.1375,0.5258,0.5740
DecisionTreeRegressor,0.4584,0.5053,0.6770,-0.0225,0.4617,0.4618,0.3415,0.4140,0.5844,0.5276,0.7621,0.7666
RandomForestRegressor,0.2518,0.3760,0.5018,0.4382,0.6650,0.6791,0.4662,0.4635,0.6828,0.3551,0.6854,0.7495
GradientBoostingRegressor,0.2397,0.3567,0.4896,0.4652,0.6841,0.7000,0.3667,0.4283,0.6055,0.4927,0.7620,0.7971
AdaBoostRegressor,0.2947,0.4309,0.5429,0.3425,0.5868,0.6317,0.5245,0.5160,0.7243,0.2743,0.6592,0.7512
XGBRegressor,0.2584,0.3730,0.5083,0.4236,0.6699,0.6864,0.3824,0.4158,0.6184,0.4710,0.7097,0.7729
ExtraTreesRegressor,0.2470,0.3578,0.4970,0.4490,0.6805,0.6891,0.4328,0.4268,0.6579,0.4013,0.6854,0.7549
LinearRegression,2.5403,0.9458,1.5938,-4.6667,0.2910,0.4448,1.0111,0.7189,1.0055,-0.3988,0.5185,0.5278
KNeighborsRegressor,0.3327,0.4041,0.5768,0.2578,0.5579,0.5941,0.5363,0.4968,0.7323,0.2581,0.6398,0.7133
SVR,0.2694,0.3887,0.5191,0.3990,0.6349,0.6323,0.5337,0.4884,0.7306,0.2616,0.6879,0.7291
MLPRegressor,1.0720,0.7557,1.0354,-1.3913,0.2482,0.2416,0.6661,0.6206,0.8162,0.0785,0.7232,0.5489
