,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3369,0.4381,0.5804,0.2485,0.5032,0.5278,0.6234,0.5624,0.7896,0.1375,0.5258,0.5740
DecisionTreeRegressor,0.4836,0.5128,0.6954,-0.0788,0.4544,0.4538,0.3403,0.4065,0.5834,0.5292,0.7672,0.7889
RandomForestRegressor,0.2497,0.3751,0.4997,0.4429,0.6692,0.6837,0.4709,0.4614,0.6862,0.3486,0.6781,0.7564
GradientBoostingRegressor,0.2363,0.3523,0.4861,0.4728,0.6896,0.7067,0.3679,0.4271,0.6066,0.4910,0.7626,0.7996
AdaBoostRegressor,0.2998,0.4363,0.5476,0.3311,0.5788,0.6115,0.5302,0.5282,0.7281,0.2665,0.6750,0.7223
XGBRegressor,0.2584,0.3730,0.5083,0.4236,0.6699,0.6864,0.3824,0.4158,0.6184,0.4710,0.7097,0.7729
ExtraTreesRegressor,0.2564,0.3601,0.5063,0.4281,0.6669,0.6782,0.4348,0.4297,0.6594,0.3984,0.6848,0.7513
LinearRegression,2.5403,0.9458,1.5938,-4.6667,0.2910,0.4448,1.0111,0.7189,1.0055,-0.3988,0.5185,0.5278
KNeighborsRegressor,0.3289,0.4048,0.5735,0.2663,0.5673,0.6015,0.5364,0.4958,0.7324,0.2579,0.6431,0.7064
SVR,0.2694,0.3887,0.5191,0.3990,0.6349,0.6323,0.5337,0.4884,0.7306,0.2616,0.6879,0.7291
MLPRegressor,1.1116,0.7712,1.0543,-1.4798,0.2159,0.2160,0.8268,0.7186,0.9093,-0.1438,0.6912,0.4884
