,Feature,Importance
0,AcidicGroupCount,0.0
1,BasicGroupCount,2.8698398e-05
2,AdjacencyMatrix,0.00029732403
3,AdjacencyMatrix.1,0.00012820389
4,AdjacencyMatrix.2,4.088659e-05
5,AdjacencyMatrix.3,0.0
6,AdjacencyMatrix.4,9.148879e-05
7,AdjacencyMatrix.5,0.0
8,AdjacencyMatrix.6,0.00035681346
9,AdjacencyMatrix.7,0.00066509156
10,AdjacencyMatrix.8,0.0003977282
11,AdjacencyMatrix.9,9.998721e-06
12,AdjacencyMatrix.10,0.00041675192
13,AdjacencyMatrix.11,0.0
14,AromaticAtomsCount,2.2754075e-07
15,AromaticBondsCount,0.0
16,AtomCount,2.7475988e-07
17,AtomCount.1,0.0
18,AtomCount.2,0.0
19,AtomCount.3,0.0
20,AtomCount.4,0.0
21,AtomCount.5,0.0038251528
22,AtomCount.6,0.0
23,AtomCount.7,0.0
24,AtomCount.8,0.0
25,AtomCount.9,0.0
26,AtomCount.10,0.0
27,AtomCount.11,0.0
28,AtomCount.12,0.0
29,AtomCount.13,0.0
30,AtomCount.14,0.0
31,AtomCount.15,0.0
32,AtomCount.16,0.0
33,ATS,3.3052817e-07
34,ATS.1,1.1962953e-05
35,ATS.2,0.0
36,ATS.3,2.4188372e-05
37,ATS.4,0.00022542349
38,ATS.5,7.867083e-08
39,ATS.6,0.00015278647
40,ATS.7,4.968942e-07
41,ATS.8,0.033120967
42,ATS.9,6.594821e-07
43,ATS.10,0.00061797345
44,ATS.11,0.0
45,ATS.12,0.0
46,ATS.13,0.0
47,ATS.14,0.0
48,ATS.15,0.0
49,ATS.16,0.0
50,ATS.17,0.006068402
51,ATS.18,0.0
52,ATS.19,0.0042910697
53,ATS.20,0.0
54,ATS.21,0.001604083
55,ATS.22,0.0
56,ATS.23,0.0
57,ATS.24,0.0
58,ATS.25,0.00083383446
59,ATS.26,0.0
60,ATS.27,1.5303976e-06
61,ATS.28,0.0
62,ATS.29,0.0
63,ATS.30,0.0
64,ATS.31,0.0
65,ATS.32,0.0
66,ATS.33,0.0
67,ATS.34,0.0
68,ATS.35,0.0025845373
69,ATS.36,0.0
70,ATS.37,0.0
71,ATS.38,0.0
72,ATS.39,0.0
73,ATS.40,0.0
74,ATS.41,0.0
75,ATS.42,0.0
76,ATS.43,0.0
77,ATS.44,0.0
78,ATS.45,0.0
79,ATS.46,0.0
80,ATS.47,0.0
81,ATS.48,0.0
