,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2085,0.3391,0.4566,0.5349,0.7424,0.7626,0.4545,0.4461,0.6742,0.3712,0.6895,0.7825
DecisionTreeRegressor,0.4112,0.4845,0.6413,0.0827,0.4838,0.4751,0.4039,0.4369,0.6356,0.4412,0.7335,0.7766
RandomForestRegressor,0.2220,0.3566,0.4711,0.5048,0.7276,0.7505,0.4849,0.4709,0.6963,0.3292,0.6862,0.7735
GradientBoostingRegressor,0.2203,0.3451,0.4693,0.5087,0.7184,0.7442,0.4049,0.4187,0.6363,0.4399,0.7305,0.8016
AdaBoostRegressor,0.2209,0.3603,0.4700,0.5072,0.7270,0.7468,0.5265,0.4857,0.7256,0.2717,0.6206,0.7034
XGBRegressor,0.2783,0.3937,0.5275,0.3793,0.6229,0.6331,0.4232,0.4475,0.6505,0.4145,0.7304,0.7908
ExtraTreesRegressor,0.1826,0.3207,0.4273,0.5927,0.7780,0.7885,0.4369,0.4285,0.6610,0.3956,0.7120,0.7847
LinearRegression,0.3643,0.4392,0.6036,0.1873,0.6238,0.6322,0.3141,0.4596,0.5604,0.5655,0.7608,0.7390
KNeighborsRegressor,0.2981,0.3920,0.5460,0.3351,0.6204,0.6571,0.5567,0.4809,0.7461,0.2298,0.6416,0.7263
SVR,0.2049,0.3241,0.4527,0.5428,0.7455,0.7676,0.4708,0.4492,0.6862,0.3486,0.6744,0.7711
MLPRegressor,0.8662,0.6727,0.9307,-0.9322,0.3085,0.2934,0.6667,0.5814,0.8165,0.0777,0.6341,0.6500
