,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2140,0.3459,0.4626,0.5227,0.7288,0.7554,0.4700,0.4364,0.6856,0.3498,0.6734,0.7802
DecisionTreeRegressor,0.3643,0.4618,0.6036,0.1873,0.5531,0.5546,0.4559,0.4468,0.6752,0.3693,0.6731,0.7278
RandomForestRegressor,0.2142,0.3553,0.4628,0.5222,0.7427,0.7616,0.4783,0.4633,0.6916,0.3383,0.6983,0.7873
GradientBoostingRegressor,0.2030,0.3334,0.4505,0.5472,0.7478,0.7555,0.4004,0.4062,0.6328,0.4461,0.7319,0.8238
AdaBoostRegressor,0.2316,0.3694,0.4812,0.4834,0.7062,0.7235,0.4998,0.4597,0.7070,0.3086,0.6539,0.7483
XGBRegressor,0.2749,0.3982,0.5243,0.3868,0.6301,0.6533,0.4721,0.4513,0.6871,0.3469,0.6819,0.7798
ExtraTreesRegressor,0.1927,0.3255,0.4390,0.5701,0.7648,0.7729,0.4226,0.4243,0.6501,0.4153,0.7254,0.8063
LinearRegression,0.3899,0.4606,0.6244,0.1302,0.5958,0.6226,0.3053,0.4420,0.5525,0.5777,0.7709,0.7606
KNeighborsRegressor,0.2813,0.3789,0.5304,0.3725,0.6569,0.6846,0.5597,0.4739,0.7481,0.2257,0.6400,0.7178
SVR,0.1945,0.3138,0.4410,0.5661,0.7610,0.7801,0.4426,0.4319,0.6653,0.3877,0.6998,0.7890
MLPRegressor,0.9887,0.7086,0.9943,-1.2054,0.2635,0.2909,0.5377,0.5277,0.7333,0.2562,0.6369,0.6324
