,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2140,0.3459,0.4626,0.5227,0.7288,0.7554,0.4700,0.4364,0.6856,0.3498,0.6734,0.7802
DecisionTreeRegressor,0.3911,0.4744,0.6254,0.1275,0.5308,0.5241,0.3988,0.4295,0.6315,0.4483,0.7281,0.7830
RandomForestRegressor,0.2146,0.3540,0.4632,0.5214,0.7433,0.7656,0.4828,0.4650,0.6949,0.3320,0.6941,0.7860
GradientBoostingRegressor,0.1970,0.3322,0.4438,0.5606,0.7573,0.7657,0.4005,0.4083,0.6329,0.4459,0.7292,0.8267
AdaBoostRegressor,0.2056,0.3492,0.4534,0.5415,0.7594,0.7684,0.4949,0.4730,0.7035,0.3154,0.6777,0.7559
XGBRegressor,0.2749,0.3982,0.5243,0.3868,0.6301,0.6533,0.4721,0.4513,0.6871,0.3469,0.6819,0.7798
ExtraTreesRegressor,0.1823,0.3157,0.4270,0.5933,0.7823,0.7989,0.4075,0.4164,0.6383,0.4363,0.7442,0.8235
LinearRegression,0.3899,0.4606,0.6244,0.1302,0.5958,0.6226,0.3053,0.4420,0.5525,0.5777,0.7709,0.7606
KNeighborsRegressor,0.2813,0.3789,0.5304,0.3725,0.6569,0.6846,0.5597,0.4739,0.7481,0.2257,0.6400,0.7178
SVR,0.1945,0.3138,0.4410,0.5661,0.7610,0.7796,0.4426,0.4319,0.6653,0.3877,0.6998,0.7890
MLPRegressor,0.9922,0.7480,0.9961,-1.2133,0.2711,0.2663,0.6474,0.5964,0.8046,0.1043,0.5527,0.5673
