,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2137,0.3283,0.4622,0.5234,0.7266,0.7498,0.4561,0.4375,0.6753,0.3690,0.6751,0.7531
DecisionTreeRegressor,0.3933,0.4630,0.6271,0.1226,0.5375,0.5785,0.5516,0.4584,0.7427,0.2369,0.6094,0.7116
RandomForestRegressor,0.2099,0.3391,0.4581,0.5319,0.7449,0.7776,0.4756,0.4540,0.6896,0.3421,0.6942,0.7826
GradientBoostingRegressor,0.2042,0.3199,0.4519,0.5445,0.7423,0.7630,0.3961,0.4113,0.6293,0.4521,0.7336,0.8048
AdaBoostRegressor,0.2125,0.3475,0.4610,0.5260,0.7321,0.7661,0.4589,0.4713,0.6775,0.3651,0.7091,0.7837
XGBRegressor,0.2296,0.3399,0.4791,0.4879,0.7084,0.7374,0.4629,0.4377,0.6804,0.3596,0.6716,0.7568
ExtraTreesRegressor,0.1674,0.2896,0.4092,0.6265,0.8039,0.8286,0.3980,0.4004,0.6308,0.4494,0.7362,0.8177
LinearRegression,10.3504,2.7293,3.2172,-22.0891,-0.0550,-0.0578,3.6156,1.4842,1.9015,-4.0020,0.4389,0.4211
KNeighborsRegressor,0.2475,0.3469,0.4975,0.4479,0.7125,0.7413,0.5002,0.4372,0.7072,0.3080,0.6956,0.7990
SVR,0.1831,0.2984,0.4279,0.5915,0.7788,0.8017,0.4177,0.4272,0.6463,0.4222,0.7191,0.7725
MLPRegressor,0.8175,0.6444,0.9041,-0.8235,0.3549,0.4014,0.8669,0.6902,0.9311,-0.1992,0.3902,0.4328
