,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1893,0.3141,0.4351,0.5778,0.7653,0.8017,0.4412,0.4219,0.6642,0.3896,0.6939,0.7594
DecisionTreeRegressor,0.3379,0.4285,0.5813,0.2461,0.6011,0.6280,0.3858,0.4403,0.6211,0.4663,0.7339,0.7747
RandomForestRegressor,0.1948,0.3307,0.4413,0.5655,0.7705,0.7986,0.4578,0.4507,0.6766,0.3666,0.7126,0.7967
GradientBoostingRegressor,0.1787,0.3027,0.4228,0.6013,0.7839,0.8164,0.3838,0.4075,0.6195,0.4691,0.7472,0.8208
AdaBoostRegressor,0.2098,0.3435,0.4581,0.5319,0.7399,0.7698,0.4689,0.4647,0.6848,0.3512,0.6879,0.7725
XGBRegressor,0.2196,0.3458,0.4686,0.5102,0.7199,0.7439,0.4221,0.4370,0.6497,0.4160,0.7364,0.8023
ExtraTreesRegressor,0.1730,0.3035,0.4159,0.6142,0.7951,0.8165,0.3945,0.4104,0.6281,0.4542,0.7499,0.8055
LinearRegression,6.9854,2.1410,2.6430,-14.5825,0.0987,0.0713,3.8410,1.5482,1.9598,-4.3138,0.0700,0.1040
KNeighborsRegressor,0.2996,0.3888,0.5473,0.3317,0.6263,0.6580,0.5297,0.4764,0.7278,0.2672,0.6769,0.7475
SVR,0.1879,0.3024,0.4335,0.5808,0.7703,0.7885,0.4277,0.4199,0.6540,0.4083,0.7149,0.7832
MLPRegressor,0.8489,0.6298,0.9213,-0.8936,0.3336,0.3453,0.7458,0.6148,0.8636,-0.0317,0.5414,0.5865
