,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1893,0.3141,0.4351,0.5778,0.7653,0.8017,0.4412,0.4219,0.6642,0.3896,0.6939,0.7594
DecisionTreeRegressor,0.2890,0.4085,0.5376,0.3554,0.6494,0.6584,0.4446,0.4387,0.6668,0.3849,0.6804,0.7533
RandomForestRegressor,0.1955,0.3309,0.4421,0.5640,0.7696,0.7983,0.4494,0.4491,0.6704,0.3783,0.7214,0.8046
GradientBoostingRegressor,0.1777,0.3004,0.4215,0.6037,0.7851,0.8174,0.3894,0.4096,0.6240,0.4613,0.7393,0.8130
AdaBoostRegressor,0.2184,0.3468,0.4673,0.5128,0.7242,0.7511,0.4742,0.4615,0.6886,0.3440,0.6794,0.7799
XGBRegressor,0.2196,0.3458,0.4686,0.5102,0.7199,0.7439,0.4221,0.4370,0.6497,0.4160,0.7364,0.8023
ExtraTreesRegressor,0.1671,0.2987,0.4088,0.6272,0.8068,0.8413,0.4167,0.4194,0.6456,0.4235,0.7305,0.7891
LinearRegression,6.9854,2.1410,2.6430,-14.5825,0.0987,0.0713,3.8410,1.5482,1.9598,-4.3138,0.0700,0.1040
KNeighborsRegressor,0.2996,0.3888,0.5473,0.3317,0.6263,0.6580,0.5297,0.4764,0.7278,0.2672,0.6769,0.7475
SVR,0.1879,0.3024,0.4335,0.5808,0.7703,0.7885,0.4277,0.4199,0.6540,0.4083,0.7149,0.7832
MLPRegressor,0.7657,0.6192,0.8750,-0.7081,0.3779,0.3922,0.5272,0.5005,0.7261,0.2707,0.6554,0.6870
