,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1916,0.3253,0.4377,0.5727,0.7655,0.7987,0.4555,0.4401,0.6749,0.3698,0.6909,0.7832
DecisionTreeRegressor,0.3248,0.3988,0.5699,0.2755,0.6236,0.6692,0.2964,0.4125,0.5444,0.5899,0.8068,0.8063
RandomForestRegressor,0.1985,0.3315,0.4455,0.5573,0.7657,0.7994,0.4511,0.4541,0.6716,0.3759,0.7222,0.7952
GradientBoostingRegressor,0.2037,0.3250,0.4513,0.5457,0.7496,0.7722,0.3773,0.4211,0.6143,0.4780,0.7581,0.7972
AdaBoostRegressor,0.2022,0.3455,0.4497,0.5490,0.7513,0.7767,0.4816,0.4676,0.6940,0.3338,0.6706,0.7514
XGBRegressor,0.2321,0.3453,0.4818,0.4823,0.7057,0.7451,0.4228,0.4255,0.6502,0.4151,0.7189,0.7774
ExtraTreesRegressor,0.1680,0.3045,0.4098,0.6253,0.8017,0.8266,0.4300,0.4282,0.6557,0.4052,0.7181,0.7772
LinearRegression,6.9977,2.1456,2.6453,-14.6101,0.1620,0.1548,3.4251,1.3520,1.8507,-3.7384,0.1685,0.1904
KNeighborsRegressor,0.3018,0.3944,0.5494,0.3267,0.6228,0.6553,0.5478,0.4730,0.7401,0.2422,0.6477,0.7345
SVR,0.2020,0.3132,0.4495,0.5494,0.7490,0.7724,0.4988,0.4485,0.7063,0.3099,0.6377,0.7425
MLPRegressor,0.8182,0.6184,0.9045,-0.8252,0.3680,0.3716,0.7132,0.6011,0.8445,0.0133,0.5550,0.5523
