,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1922,0.3182,0.4384,0.5712,0.7648,0.7960,0.4447,0.4282,0.6668,0.3848,0.6956,0.7660
DecisionTreeRegressor,0.3292,0.4309,0.5738,0.2656,0.6121,0.6103,0.3936,0.4422,0.6274,0.4554,0.7221,0.7451
RandomForestRegressor,0.1938,0.3290,0.4402,0.5678,0.7738,0.8060,0.4571,0.4513,0.6761,0.3676,0.7164,0.7983
GradientBoostingRegressor,0.1880,0.3134,0.4336,0.5806,0.7667,0.7933,0.3514,0.4000,0.5928,0.5139,0.7708,0.8244
AdaBoostRegressor,0.2093,0.3483,0.4575,0.5332,0.7415,0.7653,0.4556,0.4689,0.6750,0.3697,0.7038,0.7757
XGBRegressor,0.2310,0.3564,0.4806,0.4846,0.7035,0.7259,0.3669,0.4091,0.6057,0.4924,0.7754,0.8440
ExtraTreesRegressor,0.1786,0.3053,0.4226,0.6016,0.7881,0.8156,0.3999,0.4167,0.6324,0.4467,0.7456,0.8057
LinearRegression,7.2656,2.1847,2.6955,-15.2076,0.0550,0.0541,3.4996,1.3951,1.8707,-3.8415,0.1365,0.1348
KNeighborsRegressor,0.2941,0.3863,0.5423,0.3440,0.6370,0.6662,0.5338,0.4701,0.7306,0.2615,0.6569,0.7369
SVR,0.1949,0.3066,0.4415,0.5652,0.7592,0.7785,0.4611,0.4322,0.6791,0.3620,0.6793,0.7645
MLPRegressor,0.6415,0.5273,0.8009,-0.4310,0.4536,0.4999,0.6003,0.5509,0.7748,0.1696,0.6074,0.6464
