,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1922,0.3182,0.4384,0.5712,0.7648,0.7960,0.4447,0.4282,0.6668,0.3848,0.6956,0.7660
DecisionTreeRegressor,0.3313,0.4405,0.5756,0.2609,0.6057,0.6086,0.4045,0.4472,0.6360,0.4404,0.7076,0.7670
RandomForestRegressor,0.1960,0.3306,0.4428,0.5627,0.7704,0.8012,0.4608,0.4523,0.6788,0.3625,0.7113,0.7900
GradientBoostingRegressor,0.1886,0.3145,0.4343,0.5793,0.7662,0.7960,0.3592,0.4050,0.5993,0.5031,0.7642,0.8175
AdaBoostRegressor,0.2251,0.3516,0.4745,0.4978,0.7124,0.7349,0.4491,0.4632,0.6701,0.3787,0.7101,0.7884
XGBRegressor,0.2310,0.3564,0.4806,0.4846,0.7035,0.7259,0.3669,0.4091,0.6057,0.4924,0.7754,0.8440
ExtraTreesRegressor,0.1787,0.3095,0.4227,0.6014,0.7878,0.8142,0.4118,0.4190,0.6417,0.4303,0.7366,0.7985
LinearRegression,7.2656,2.1847,2.6955,-15.2076,0.0550,0.0541,3.4996,1.3951,1.8707,-3.8415,0.1365,0.1348
KNeighborsRegressor,0.2941,0.3863,0.5423,0.3440,0.6370,0.6662,0.5338,0.4701,0.7306,0.2615,0.6569,0.7369
SVR,0.1949,0.3066,0.4415,0.5652,0.7593,0.7783,0.4612,0.4322,0.6791,0.3620,0.6793,0.7645
MLPRegressor,0.6785,0.5508,0.8237,-0.5135,0.4375,0.4653,0.4873,0.5048,0.6981,0.3258,0.6887,0.6765
