,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2058,0.3360,0.4537,0.5408,0.7412,0.7653,0.4434,0.4295,0.6659,0.3865,0.6952,0.7804
DecisionTreeRegressor,0.3688,0.4425,0.6073,0.1772,0.5424,0.5594,0.3839,0.4445,0.6196,0.4688,0.7314,0.7543
RandomForestRegressor,0.2014,0.3285,0.4488,0.5508,0.7608,0.7796,0.4641,0.4586,0.6813,0.3579,0.7004,0.7656
GradientBoostingRegressor,0.2131,0.3373,0.4616,0.5247,0.7271,0.7355,0.4081,0.4067,0.6388,0.4355,0.7196,0.7887
AdaBoostRegressor,0.2339,0.3629,0.4836,0.4782,0.6957,0.7142,0.4667,0.4656,0.6832,0.3543,0.7164,0.7701
XGBRegressor,0.2402,0.3638,0.4901,0.4642,0.6846,0.6902,0.4924,0.4419,0.7017,0.3188,0.6391,0.7177
ExtraTreesRegressor,0.1744,0.3046,0.4176,0.6109,0.7919,0.8128,0.4373,0.4242,0.6613,0.3950,0.7026,0.7737
LinearRegression,1.0250,0.7253,1.0124,-1.2864,0.4238,0.4663,0.5850,0.5361,0.7649,0.1906,0.7170,0.6416
KNeighborsRegressor,0.2931,0.3903,0.5414,0.3462,0.6235,0.6601,0.5655,0.4978,0.7520,0.2177,0.6103,0.6686
SVR,0.2060,0.3185,0.4539,0.5405,0.7411,0.7712,0.4466,0.4325,0.6683,0.3821,0.7014,0.7807
MLPRegressor,0.7740,0.5711,0.8798,-0.7265,0.3432,0.3849,0.5981,0.5331,0.7734,0.1726,0.6028,0.6742
