,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1849,0.3170,0.4300,0.5876,0.7750,0.8056,0.4376,0.4193,0.6615,0.3946,0.7041,0.7979
DecisionTreeRegressor,0.3933,0.4364,0.6272,0.1226,0.5121,0.5311,0.3496,0.4232,0.5913,0.5163,0.7697,0.7598
RandomForestRegressor,0.1860,0.3222,0.4313,0.5851,0.7873,0.8054,0.4519,0.4471,0.6723,0.3748,0.7186,0.7992
GradientBoostingRegressor,0.1821,0.3149,0.4267,0.5938,0.7752,0.7904,0.3793,0.4050,0.6158,0.4753,0.7473,0.8160
AdaBoostRegressor,0.2041,0.3555,0.4518,0.5447,0.7571,0.7655,0.4695,0.4658,0.6852,0.3505,0.7292,0.7852
XGBRegressor,0.2262,0.3495,0.4756,0.4955,0.7078,0.7196,0.4588,0.4400,0.6774,0.3652,0.6773,0.7516
ExtraTreesRegressor,0.1667,0.2992,0.4083,0.6281,0.8033,0.8215,0.4305,0.4157,0.6562,0.4044,0.7078,0.7776
LinearRegression,0.7643,0.6221,0.8743,-0.7050,0.4778,0.5478,0.4260,0.4833,0.6527,0.4107,0.7495,0.6648
KNeighborsRegressor,0.2757,0.3747,0.5251,0.3850,0.6532,0.6751,0.5319,0.4807,0.7293,0.2642,0.6406,0.7055
SVR,0.1892,0.3014,0.4349,0.5780,0.7677,0.7889,0.4159,0.4107,0.6449,0.4246,0.7278,0.7808
MLPRegressor,0.8101,0.6195,0.9000,-0.8070,0.3410,0.3422,0.7011,0.5521,0.8373,0.0300,0.5320,0.5596
