,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1849,0.3170,0.4300,0.5876,0.7750,0.8056,0.4376,0.4193,0.6615,0.3946,0.7041,0.7979
DecisionTreeRegressor,0.3915,0.4377,0.6257,0.1267,0.5221,0.5477,0.2967,0.3822,0.5447,0.5895,0.8008,0.7920
RandomForestRegressor,0.1818,0.3186,0.4264,0.5944,0.7927,0.8120,0.4509,0.4470,0.6715,0.3762,0.7180,0.7930
GradientBoostingRegressor,0.1800,0.3109,0.4243,0.5985,0.7783,0.7897,0.3722,0.3998,0.6101,0.4851,0.7508,0.8230
AdaBoostRegressor,0.2116,0.3606,0.4600,0.5279,0.7408,0.7538,0.4802,0.4566,0.6930,0.3356,0.7030,0.7752
XGBRegressor,0.2262,0.3495,0.4756,0.4955,0.7078,0.7196,0.4588,0.4400,0.6774,0.3652,0.6773,0.7516
ExtraTreesRegressor,0.1733,0.3059,0.4162,0.6135,0.7921,0.8117,0.4354,0.4203,0.6598,0.3977,0.7045,0.7771
LinearRegression,0.7643,0.6221,0.8743,-0.7050,0.4778,0.5478,0.4260,0.4833,0.6527,0.4107,0.7495,0.6648
KNeighborsRegressor,0.2873,0.3885,0.5360,0.3592,0.6410,0.6614,0.5536,0.4957,0.7440,0.2341,0.6273,0.6864
SVR,0.1892,0.3014,0.4349,0.5780,0.7678,0.7889,0.4159,0.4107,0.6449,0.4246,0.7278,0.7808
MLPRegressor,0.7418,0.5830,0.8613,-0.6548,0.3519,0.3817,0.5989,0.5465,0.7739,0.1714,0.6179,0.6214
