,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2370,0.3553,0.4868,0.4713,0.6887,0.7113,0.5246,0.4760,0.7243,0.2742,0.6220,0.7254
DecisionTreeRegressor,0.4035,0.4595,0.6353,0.0998,0.5743,0.5936,0.3200,0.3850,0.5657,0.5573,0.7732,0.7706
RandomForestRegressor,0.2195,0.3532,0.4685,0.5104,0.7249,0.7408,0.4632,0.4532,0.6806,0.3592,0.7093,0.7482
GradientBoostingRegressor,0.2230,0.3457,0.4723,0.5025,0.7124,0.7188,0.3887,0.4009,0.6235,0.4623,0.7520,0.8023
AdaBoostRegressor,0.2553,0.3935,0.5053,0.4304,0.6704,0.6673,0.5126,0.4873,0.7160,0.2908,0.7002,0.7464
XGBRegressor,0.2335,0.3613,0.4832,0.4791,0.7009,0.7014,0.4798,0.4649,0.6927,0.3362,0.6585,0.6768
ExtraTreesRegressor,0.1947,0.3274,0.4412,0.5658,0.7608,0.7731,0.3913,0.4171,0.6256,0.4586,0.7401,0.7865
LinearRegression,3.2099,1.1820,1.7916,-6.1605,0.3155,0.3398,1.0421,0.7823,1.0208,-0.4417,0.6623,0.6220
KNeighborsRegressor,0.3124,0.4019,0.5589,0.3032,0.6184,0.6459,0.4943,0.5017,0.7031,0.3161,0.7443,0.7622
SVR,0.2056,0.3341,0.4534,0.5414,0.7449,0.7628,0.4234,0.4407,0.6507,0.4142,0.7540,0.8111
MLPRegressor,0.7883,0.5870,0.8879,-0.7586,0.3141,0.3518,0.6328,0.5562,0.7955,0.1246,0.5759,0.6007
