,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2452,0.3639,0.4951,0.4531,0.6747,0.6982,0.4890,0.4767,0.6993,0.3235,0.6662,0.7537
DecisionTreeRegressor,0.3452,0.4397,0.5875,0.2299,0.6204,0.6232,0.3637,0.4106,0.6031,0.4968,0.7378,0.7690
RandomForestRegressor,0.2203,0.3515,0.4694,0.5085,0.7237,0.7374,0.4415,0.4502,0.6645,0.3891,0.7249,0.7516
GradientBoostingRegressor,0.2266,0.3430,0.4761,0.4944,0.7067,0.7151,0.3740,0.3991,0.6116,0.4826,0.7613,0.8118
AdaBoostRegressor,0.2712,0.4034,0.5208,0.3949,0.6389,0.6588,0.4518,0.4686,0.6722,0.3750,0.7563,0.7721
XGBRegressor,0.2250,0.3612,0.4744,0.4980,0.7143,0.7135,0.4300,0.4491,0.6558,0.4051,0.7047,0.6848
ExtraTreesRegressor,0.1838,0.3210,0.4287,0.5901,0.7765,0.7851,0.3853,0.4189,0.6207,0.4670,0.7427,0.7820
LinearRegression,2.5034,0.9827,1.5822,-4.5843,0.3177,0.3847,0.8626,0.6234,0.9287,-0.1933,0.6385,0.6510
KNeighborsRegressor,0.3101,0.3955,0.5569,0.3082,0.6163,0.6531,0.4958,0.4984,0.7041,0.3141,0.7230,0.7439
SVR,0.2111,0.3393,0.4594,0.5292,0.7370,0.7540,0.4244,0.4454,0.6515,0.4128,0.7580,0.8180
MLPRegressor,0.8980,0.6397,0.9476,-1.0033,0.2361,0.2698,0.8864,0.6569,0.9415,-0.2263,0.4142,0.5240
