,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2370,0.3553,0.4868,0.4713,0.6887,0.7113,0.5246,0.4760,0.7243,0.2742,0.6220,0.7254
DecisionTreeRegressor,0.4109,0.4679,0.6410,0.0834,0.5841,0.5869,0.3413,0.4084,0.5842,0.5279,0.7582,0.7754
RandomForestRegressor,0.2208,0.3530,0.4699,0.5075,0.7228,0.7400,0.4666,0.4531,0.6831,0.3545,0.7069,0.7498
GradientBoostingRegressor,0.2199,0.3472,0.4689,0.5095,0.7176,0.7266,0.3985,0.4039,0.6313,0.4487,0.7435,0.8027
AdaBoostRegressor,0.2665,0.4022,0.5163,0.4054,0.6500,0.6716,0.4792,0.4753,0.6923,0.3370,0.7252,0.7552
XGBRegressor,0.2335,0.3613,0.4832,0.4791,0.7009,0.7014,0.4798,0.4649,0.6927,0.3362,0.6585,0.6768
ExtraTreesRegressor,0.1910,0.3237,0.4370,0.5740,0.7648,0.7719,0.3781,0.4150,0.6149,0.4769,0.7504,0.7894
LinearRegression,3.2099,1.1820,1.7916,-6.1605,0.3155,0.3398,1.0421,0.7823,1.0208,-0.4417,0.6623,0.6220
KNeighborsRegressor,0.3124,0.4019,0.5589,0.3032,0.6184,0.6459,0.4943,0.5017,0.7031,0.3161,0.7443,0.7622
SVR,0.2056,0.3341,0.4534,0.5414,0.7449,0.7627,0.4236,0.4410,0.6509,0.4139,0.7540,0.8111
MLPRegressor,0.8475,0.6188,0.9206,-0.8905,0.2682,0.3169,0.5850,0.5599,0.7649,0.1907,0.6138,0.6637
