,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2541,0.3914,0.5040,0.4333,0.6607,0.6582,0.5417,0.4767,0.7360,0.2506,0.5895,0.6807
DecisionTreeRegressor,0.5700,0.5722,0.7550,-0.2716,0.3438,0.3582,0.6585,0.5753,0.8115,0.0890,0.4575,0.5163
RandomForestRegressor,0.2854,0.4162,0.5343,0.3632,0.6099,0.6142,0.5851,0.5145,0.7649,0.1906,0.5672,0.6498
GradientBoostingRegressor,0.2791,0.3982,0.5283,0.3774,0.6168,0.6402,0.5392,0.4680,0.7343,0.2540,0.5781,0.6665
AdaBoostRegressor,0.2913,0.4134,0.5397,0.3503,0.5945,0.6432,0.5759,0.5172,0.7589,0.2033,0.5747,0.6592
XGBRegressor,0.3499,0.4490,0.5916,0.2194,0.5070,0.5026,0.5191,0.4726,0.7205,0.2818,0.5993,0.6678
ExtraTreesRegressor,0.2562,0.3966,0.5061,0.4286,0.6595,0.6767,0.5430,0.4858,0.7369,0.2488,0.6013,0.6759
LinearRegression,0.8550,0.7445,0.9247,-0.9074,0.3518,0.3479,0.5394,0.6218,0.7344,0.2538,0.5717,0.5878
KNeighborsRegressor,0.2788,0.4025,0.5280,0.3780,0.6275,0.6282,0.5709,0.4953,0.7555,0.2103,0.5771,0.6335
SVR,0.2660,0.3919,0.5158,0.4065,0.6457,0.6634,0.6085,0.5161,0.7800,0.1582,0.5500,0.6250
MLPRegressor,1.2183,0.8691,1.1038,-1.7176,0.2452,0.2204,1.6831,0.9501,1.2973,-1.3284,0.3620,0.1727
