,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4171,0.5321,0.6459,0.0695,0.3434,0.3533,0.7117,0.6103,0.8436,0.0154,0.5157,0.5045
DecisionTreeRegressor,0.7283,0.6369,0.8534,-0.6246,0.1887,0.2321,0.6613,0.6065,0.8132,0.0851,0.3956,0.3891
RandomForestRegressor,0.4255,0.5230,0.6523,0.0509,0.3475,0.3355,0.6616,0.5853,0.8134,0.0848,0.5223,0.5197
GradientBoostingRegressor,0.4802,0.5527,0.6930,-0.0712,0.2986,0.3163,0.7728,0.6550,0.8791,-0.0691,0.3654,0.4007
AdaBoostRegressor,0.4075,0.5227,0.6384,0.0909,0.3669,0.3532,0.7177,0.6009,0.8472,0.0071,0.4682,0.5293
XGBRegressor,0.5549,0.5911,0.7449,-0.2378,0.2782,0.2638,0.7189,0.6086,0.8479,0.0054,0.4615,0.4777
ExtraTreesRegressor,0.4267,0.5125,0.6533,0.0480,0.3579,0.3593,0.6589,0.6012,0.8117,0.0884,0.5526,0.5881
LinearRegression,0.3937,0.5100,0.6275,0.1217,0.3908,0.3933,0.7267,0.6479,0.8525,-0.0054,0.4093,0.4205
KNeighborsRegressor,0.4776,0.5526,0.6911,-0.0653,0.2720,0.2538,0.6708,0.6277,0.8190,0.0720,0.4960,0.4646
SVR,0.4128,0.5032,0.6425,0.0792,0.3576,0.3770,0.7149,0.6180,0.8455,0.0110,0.4411,0.4682
MLPRegressor,1.5401,1.0519,1.2410,-2.4356,0.2383,0.2428,3.6882,1.6204,1.9205,-4.1024,-0.0932,-0.1381
