,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2801,0.4068,0.5293,0.3751,0.6133,0.6163,0.5844,0.4899,0.7645,0.1915,0.5505,0.6311
DecisionTreeRegressor,0.5784,0.5636,0.7605,-0.2902,0.3273,0.3475,0.6083,0.5419,0.7799,0.1585,0.5109,0.5802
RandomForestRegressor,0.2948,0.4193,0.5430,0.3424,0.5914,0.5812,0.5902,0.5144,0.7682,0.1835,0.5680,0.6517
GradientBoostingRegressor,0.2808,0.3969,0.5299,0.3735,0.6125,0.6244,0.5733,0.4886,0.7572,0.2069,0.5368,0.6383
AdaBoostRegressor,0.3015,0.4214,0.5491,0.3274,0.5730,0.5966,0.5530,0.4869,0.7436,0.2350,0.5864,0.6700
XGBRegressor,0.3327,0.4403,0.5768,0.2578,0.5315,0.5241,0.6013,0.4877,0.7754,0.1681,0.5124,0.6199
ExtraTreesRegressor,0.2491,0.3897,0.4991,0.4442,0.6719,0.6764,0.5400,0.4828,0.7349,0.2529,0.6062,0.6920
LinearRegression,0.9267,0.7425,0.9626,-1.0672,0.3621,0.3981,0.5654,0.6081,0.7519,0.2178,0.5372,0.5596
KNeighborsRegressor,0.2747,0.3981,0.5242,0.3871,0.6353,0.6394,0.6030,0.5397,0.7765,0.1658,0.5611,0.6382
SVR,0.2898,0.4083,0.5384,0.3535,0.5977,0.6075,0.5958,0.5037,0.7719,0.1757,0.5688,0.6578
MLPRegressor,1.2690,0.9153,1.1265,-1.8309,0.2694,0.2579,1.2040,0.8230,1.0973,-0.6657,0.4315,0.3429
