,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1211,0.2674,0.3480,0.7298,0.8544,0.8715,0.8577,0.6132,0.9261,-0.1866,0.3483,0.4375
DecisionTreeRegressor,0.2100,0.3452,0.4583,0.5315,0.7671,0.7898,0.7954,0.5853,0.8918,-0.1003,0.4034,0.4821
RandomForestRegressor,0.1065,0.2501,0.3263,0.7625,0.8737,0.8856,0.8064,0.5930,0.8980,-0.1156,0.3800,0.4680
GradientBoostingRegressor,0.1232,0.2648,0.3510,0.7252,0.8547,0.8722,0.8374,0.6082,0.9151,-0.1584,0.3719,0.4671
AdaBoostRegressor,0.1123,0.2537,0.3351,0.7495,0.8659,0.8778,0.8269,0.5937,0.9093,-0.1440,0.3655,0.4776
XGBRegressor,0.1373,0.2794,0.3705,0.6938,0.8379,0.8520,0.8165,0.5970,0.9036,-0.1295,0.3752,0.4576
ExtraTreesRegressor,0.1134,0.2521,0.3367,0.7471,0.8655,0.8765,0.8291,0.5980,0.9105,-0.1469,0.3719,0.4583
LinearRegression,1.0610,0.7548,1.0301,-1.3669,0.4844,0.5291,1.1403,0.7440,1.0678,-0.5775,0.3203,0.4615
KNeighborsRegressor,0.1206,0.2618,0.3473,0.7309,0.8564,0.8600,0.8511,0.5711,0.9226,-0.1775,0.3281,0.4126
SVR,0.1275,0.2680,0.3570,0.7156,0.8469,0.8634,0.8616,0.6052,0.9282,-0.1919,0.3424,0.4253
MLPRegressor,0.7593,0.6639,0.8714,-0.6938,0.5003,0.5359,1.5339,0.8465,1.2385,-1.1220,0.1647,0.2309
