,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1779,0.3114,0.4218,0.6031,0.7784,0.7841,0.4686,0.4581,0.6845,0.3518,0.6830,0.7358
DecisionTreeRegressor,0.3389,0.4221,0.5821,0.2441,0.6152,0.6228,0.3726,0.4280,0.6104,0.4846,0.7591,0.7672
RandomForestRegressor,0.1743,0.3150,0.4175,0.6111,0.7839,0.7974,0.4797,0.4724,0.6926,0.3363,0.6796,0.7327
GradientBoostingRegressor,0.1933,0.3294,0.4396,0.5689,0.7552,0.7631,0.4397,0.4523,0.6631,0.3917,0.7094,0.7574
AdaBoostRegressor,0.1821,0.3304,0.4267,0.5939,0.7716,0.7799,0.4525,0.4635,0.6727,0.3740,0.7078,0.7528
XGBRegressor,0.2303,0.3541,0.4799,0.4863,0.7047,0.7125,0.4246,0.4436,0.6516,0.4126,0.7042,0.7666
ExtraTreesRegressor,0.1628,0.3068,0.4035,0.6369,0.7994,0.8139,0.4679,0.4681,0.6841,0.3526,0.6860,0.7498
LinearRegression,0.3154,0.4361,0.5616,0.2965,0.6408,0.6532,0.7374,0.6336,0.8587,-0.0201,0.4955,0.5857
KNeighborsRegressor,0.2394,0.3468,0.4893,0.4659,0.6994,0.7186,0.5544,0.4759,0.7445,0.2331,0.6123,0.7147
SVR,0.1787,0.3133,0.4227,0.6014,0.7788,0.7993,0.5048,0.4559,0.7105,0.3017,0.6426,0.7597
MLPRegressor,0.7564,0.6614,0.8697,-0.6873,0.4536,0.4341,0.7306,0.6725,0.8547,-0.0107,0.5941,0.6472
