,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1316,0.2669,0.3628,0.7064,0.8408,0.8493,0.6306,0.5465,0.7941,0.1276,0.5136,0.5885
DecisionTreeRegressor,0.2187,0.3551,0.4676,0.5122,0.7569,0.7678,0.5932,0.5315,0.7702,0.1793,0.5290,0.6164
RandomForestRegressor,0.1364,0.2820,0.3693,0.6958,0.8373,0.8543,0.6505,0.5444,0.8065,0.1001,0.4780,0.5655
GradientBoostingRegressor,0.1358,0.2814,0.3685,0.6970,0.8361,0.8500,0.6215,0.5360,0.7883,0.1402,0.5097,0.5975
AdaBoostRegressor,0.1433,0.2939,0.3786,0.6803,0.8288,0.8523,0.6520,0.5453,0.8075,0.0979,0.4689,0.5506
XGBRegressor,0.1788,0.3163,0.4229,0.6011,0.7840,0.8018,0.6265,0.5330,0.7915,0.1333,0.5118,0.6067
ExtraTreesRegressor,0.1229,0.2637,0.3505,0.7259,0.8528,0.8628,0.6638,0.5397,0.8147,0.0817,0.4806,0.5597
LinearRegression,0.5177,0.5319,0.7195,-0.1548,0.6279,0.6672,0.6535,0.5934,0.8084,0.0960,0.4943,0.5822
KNeighborsRegressor,0.1799,0.3116,0.4242,0.5986,0.7801,0.7906,0.6012,0.5197,0.7754,0.1682,0.5655,0.6530
SVR,0.1235,0.2580,0.3514,0.7246,0.8546,0.8699,0.7064,0.5769,0.8405,0.0227,0.4462,0.5406
MLPRegressor,0.7077,0.6219,0.8412,-0.5786,0.5029,0.5103,0.9962,0.7248,0.9981,-0.3782,0.2990,0.3707
