,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2378,0.3696,0.4876,0.4696,0.6896,0.7043,0.4385,0.4635,0.6622,0.3933,0.7142,0.7548
DecisionTreeRegressor,0.3350,0.4341,0.5788,0.2527,0.6205,0.6232,0.3102,0.3768,0.5569,0.5709,0.7907,0.8245
RandomForestRegressor,0.2259,0.3575,0.4753,0.4960,0.7171,0.7365,0.4360,0.4409,0.6603,0.3968,0.7460,0.8010
GradientBoostingRegressor,0.2095,0.3444,0.4577,0.5327,0.7363,0.7434,0.2797,0.3684,0.5288,0.6131,0.8451,0.8554
AdaBoostRegressor,0.2677,0.4084,0.5174,0.4029,0.6368,0.6353,0.4436,0.4655,0.6660,0.3863,0.7417,0.7634
XGBRegressor,0.2266,0.3542,0.4760,0.4946,0.7095,0.7207,0.3413,0.3855,0.5842,0.5279,0.7853,0.8395
ExtraTreesRegressor,0.1959,0.3301,0.4426,0.5629,0.7600,0.7815,0.3728,0.4006,0.6106,0.4842,0.7767,0.8268
LinearRegression,2.6029,1.1140,1.6134,-4.8064,0.2990,0.3468,0.4754,0.5480,0.6895,0.3423,0.7513,0.7382
KNeighborsRegressor,0.4021,0.4669,0.6341,0.1030,0.4714,0.5070,0.6052,0.5553,0.7779,0.1628,0.6094,0.6468
SVR,0.3455,0.4431,0.5878,0.2293,0.4947,0.5148,0.6347,0.5448,0.7967,0.1220,0.5431,0.6292
MLPRegressor,1.2394,0.8437,1.1133,-1.7647,0.1657,0.1438,1.2816,0.7960,1.1321,-0.7729,0.3485,0.4054
