,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2378,0.3696,0.4876,0.4696,0.6896,0.7043,0.4385,0.4635,0.6622,0.3933,0.7142,0.7548
DecisionTreeRegressor,0.3471,0.4271,0.5892,0.2256,0.6154,0.6241,0.3048,0.3630,0.5521,0.5784,0.7988,0.8241
RandomForestRegressor,0.2225,0.3573,0.4717,0.5037,0.7221,0.7340,0.4320,0.4399,0.6573,0.4024,0.7483,0.8036
GradientBoostingRegressor,0.2049,0.3387,0.4526,0.5430,0.7443,0.7558,0.2751,0.3673,0.5245,0.6194,0.8462,0.8590
AdaBoostRegressor,0.2491,0.3973,0.4991,0.4444,0.6799,0.6750,0.4385,0.4606,0.6622,0.3933,0.7537,0.7739
XGBRegressor,0.2266,0.3542,0.4760,0.4946,0.7095,0.7207,0.3413,0.3855,0.5842,0.5279,0.7853,0.8395
ExtraTreesRegressor,0.1939,0.3285,0.4404,0.5674,0.7617,0.7943,0.3812,0.4033,0.6174,0.4727,0.7636,0.8296
LinearRegression,2.6029,1.1140,1.6134,-4.8064,0.2990,0.3468,0.4754,0.5480,0.6895,0.3423,0.7513,0.7382
KNeighborsRegressor,0.4021,0.4669,0.6341,0.1030,0.4714,0.5070,0.6052,0.5553,0.7779,0.1628,0.6094,0.6468
SVR,0.3455,0.4431,0.5878,0.2293,0.4947,0.5148,0.6347,0.5449,0.7967,0.1219,0.5430,0.6292
MLPRegressor,1.1164,0.7667,1.0566,-1.4904,0.1695,0.1996,0.9751,0.7135,0.9875,-0.3489,0.3581,0.4233
