,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2817,0.4111,0.5307,0.3717,0.6101,0.6149,0.4674,0.4722,0.6837,0.3533,0.6999,0.7521
DecisionTreeRegressor,0.4410,0.5016,0.6641,0.0163,0.4644,0.4556,0.3751,0.4299,0.6124,0.4811,0.7763,0.7625
RandomForestRegressor,0.2559,0.3903,0.5059,0.4291,0.6595,0.6570,0.4132,0.4298,0.6428,0.4284,0.7619,0.8032
GradientBoostingRegressor,0.2679,0.3981,0.5176,0.4024,0.6522,0.6507,0.3157,0.3835,0.5619,0.5632,0.8189,0.8308
AdaBoostRegressor,0.2735,0.4191,0.5230,0.3899,0.6281,0.6348,0.4361,0.4778,0.6603,0.3967,0.7710,0.7583
XGBRegressor,0.2774,0.3991,0.5267,0.3811,0.6439,0.6468,0.3464,0.4030,0.5885,0.5208,0.7825,0.7986
ExtraTreesRegressor,0.2227,0.3522,0.4720,0.5031,0.7153,0.7157,0.3610,0.4030,0.6009,0.5005,0.7750,0.8075
LinearRegression,1.5068,0.7197,1.2275,-2.3613,0.3840,0.5352,0.6221,0.5704,0.7887,0.1394,0.5535,0.6747
KNeighborsRegressor,0.2952,0.3925,0.5434,0.3414,0.6191,0.6489,0.6070,0.5110,0.7791,0.1603,0.5582,0.5984
SVR,0.2918,0.4151,0.5402,0.3490,0.6053,0.6287,0.6085,0.5488,0.7801,0.1582,0.5906,0.6525
MLPRegressor,0.4075,0.4830,0.6384,0.0909,0.4854,0.5388,0.6633,0.6010,0.8144,0.0824,0.5156,0.4968
