,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4308,0.5452,0.6564,0.0390,0.2183,0.1929,0.7391,0.6434,0.8597,-0.0225,0.4641,0.4903
DecisionTreeRegressor,0.4272,0.5348,0.6536,0.0470,0.2984,0.2461,0.7891,0.6580,0.8883,-0.0916,0.3285,0.3223
RandomForestRegressor,0.4094,0.5300,0.6398,0.0868,0.3231,0.2575,0.7872,0.6549,0.8873,-0.0891,0.3280,0.3328
GradientBoostingRegressor,0.4068,0.5253,0.6378,0.0926,0.3404,0.2710,0.7840,0.6547,0.8854,-0.0846,0.3299,0.3316
AdaBoostRegressor,0.4060,0.5238,0.6372,0.0943,0.3274,0.3123,0.7466,0.6438,0.8641,-0.0329,0.3653,0.3935
XGBRegressor,0.4045,0.5251,0.6360,0.0976,0.3438,0.2626,0.7889,0.6577,0.8882,-0.0914,0.3288,0.3223
ExtraTreesRegressor,0.4155,0.5290,0.6446,0.0732,0.3187,0.2607,0.7891,0.6580,0.8883,-0.0916,0.3285,0.3223
LinearRegression,0.3968,0.5131,0.6299,0.1149,0.3767,0.2902,0.7938,0.6497,0.8909,-0.0981,0.3096,0.3278
KNeighborsRegressor,0.6859,0.6835,0.8282,-0.5300,0.1761,0.1476,0.6014,0.6054,0.7755,0.1680,0.4156,0.4692
SVR,0.4286,0.5353,0.6547,0.0439,0.2546,0.2301,0.7850,0.6463,0.8860,-0.0860,0.3533,0.3215
MLPRegressor,0.7381,0.7187,0.8591,-0.6465,0.0927,0.0646,0.7388,0.6846,0.8595,-0.0221,0.2870,0.2673
