,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2993,0.4220,0.5471,0.3324,0.5781,0.5956,0.6148,0.5500,0.7841,0.1495,0.5492,0.6293
DecisionTreeRegressor,0.4773,0.4682,0.6908,-0.0646,0.4955,0.5420,0.5208,0.4467,0.7217,0.2795,0.6123,0.6913
RandomForestRegressor,0.2769,0.3787,0.5262,0.3823,0.6278,0.6628,0.5592,0.4813,0.7478,0.2264,0.6084,0.7333
GradientBoostingRegressor,0.2742,0.3819,0.5236,0.3884,0.6389,0.6622,0.5200,0.4563,0.7211,0.2806,0.6343,0.7163
AdaBoostRegressor,0.2991,0.4388,0.5469,0.3328,0.5820,0.6123,0.5769,0.5381,0.7596,0.2019,0.6046,0.6640
XGBRegressor,0.2987,0.3863,0.5465,0.3337,0.6174,0.6623,0.5178,0.4366,0.7195,0.2837,0.6127,0.7064
ExtraTreesRegressor,0.2979,0.3954,0.5458,0.3354,0.6117,0.6458,0.4935,0.4353,0.7025,0.3173,0.6519,0.7333
LinearRegression,0.7021,0.5355,0.8379,-0.5663,0.4522,0.5695,0.6057,0.5876,0.7782,0.1621,0.5093,0.5841
KNeighborsRegressor,0.3712,0.4414,0.6093,0.1719,0.5498,0.5814,0.5471,0.5181,0.7396,0.2432,0.6621,0.7047
SVR,0.2785,0.3861,0.5277,0.3788,0.6207,0.6240,0.5563,0.4946,0.7459,0.2303,0.6219,0.7005
MLPRegressor,1.1587,0.7968,1.0764,-1.5847,0.1857,0.1816,0.8391,0.6928,0.9160,-0.1609,0.3907,0.4111
