,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4208,0.5366,0.6487,0.0612,0.2491,0.1581,0.7594,0.6452,0.8714,-0.0505,0.3636,0.3484
DecisionTreeRegressor,0.4150,0.5335,0.6442,0.0742,0.3202,0.2518,0.8022,0.6728,0.8956,-0.1097,0.3150,0.2388
RandomForestRegressor,0.4112,0.5323,0.6413,0.0827,0.3115,0.2632,0.8006,0.6756,0.8947,-0.1075,0.3252,0.2399
GradientBoostingRegressor,0.4011,0.5221,0.6333,0.1053,0.3415,0.2600,0.7958,0.6695,0.8921,-0.1009,0.3224,0.2328
AdaBoostRegressor,0.4063,0.5249,0.6374,0.0936,0.3114,0.2515,0.7519,0.6629,0.8671,-0.0403,0.4504,0.4342
XGBRegressor,0.4058,0.5256,0.6370,0.0948,0.3358,0.2709,0.8000,0.6697,0.8944,-0.1068,0.3142,0.2328
ExtraTreesRegressor,0.4123,0.5313,0.6421,0.0803,0.3261,0.2524,0.8022,0.6728,0.8956,-0.1097,0.3150,0.2388
LinearRegression,0.4372,0.5478,0.6612,0.0247,0.2458,0.2366,0.7956,0.6715,0.8919,-0.1006,0.2510,0.3041
KNeighborsRegressor,0.9205,0.7747,0.9594,-1.0534,0.0337,-0.0377,0.9062,0.7656,0.9520,-0.2537,0.0400,-0.1934
SVR,0.4605,0.5632,0.6786,-0.0274,0.2082,0.2355,0.8627,0.6752,0.9288,-0.1934,0.1749,0.1241
MLPRegressor,0.7049,0.6587,0.8396,-0.5724,0.0343,0.1151,0.8444,0.7002,0.9189,-0.1682,0.2295,0.1639
