,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3734,0.4808,0.6110,0.1671,0.4177,0.4227,0.6634,0.5923,0.8145,0.0822,0.5005,0.5295
DecisionTreeRegressor,0.4790,0.5153,0.6921,-0.0686,0.3472,0.3605,0.8007,0.6588,0.8948,-0.1077,0.3231,0.3515
RandomForestRegressor,0.3885,0.4731,0.6233,0.1333,0.4162,0.4595,0.7107,0.6044,0.8430,0.0168,0.4469,0.4802
GradientBoostingRegressor,0.3734,0.4670,0.6111,0.1669,0.4491,0.4892,0.6858,0.5963,0.8281,0.0513,0.4618,0.4977
AdaBoostRegressor,0.3793,0.4856,0.6159,0.1539,0.4152,0.4400,0.6880,0.6254,0.8294,0.0482,0.4601,0.4929
XGBRegressor,0.4364,0.5056,0.6606,0.0266,0.3700,0.3947,0.7109,0.6237,0.8432,0.0165,0.4282,0.4277
ExtraTreesRegressor,0.4792,0.5195,0.6922,-0.0689,0.3341,0.3542,0.7868,0.6499,0.8870,-0.0884,0.3346,0.3478
LinearRegression,0.4911,0.5389,0.7008,-0.0956,0.3413,0.3629,0.6742,0.6226,0.8211,0.0672,0.4793,0.5304
KNeighborsRegressor,0.4372,0.4880,0.6612,0.0248,0.4136,0.4502,0.7925,0.6820,0.8902,-0.0964,0.3606,0.3261
SVR,0.4362,0.5082,0.6604,0.0270,0.2950,0.3471,0.8223,0.6776,0.9068,-0.1376,0.3446,0.3632
MLPRegressor,1.1586,0.8743,1.0764,-1.5845,0.0546,0.0902,1.1787,0.9159,1.0857,-0.6306,0.1210,0.0577
