,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3641,0.4872,0.6034,0.1878,0.4338,0.4587,0.6530,0.6023,0.8081,0.0966,0.5085,0.4525
DecisionTreeRegressor,0.4422,0.4869,0.6650,0.0136,0.4051,0.4353,0.7971,0.6589,0.8928,-0.1028,0.3250,0.3560
RandomForestRegressor,0.3778,0.4667,0.6147,0.1572,0.4408,0.4782,0.7392,0.6361,0.8598,-0.0227,0.4017,0.4045
GradientBoostingRegressor,0.4117,0.4890,0.6416,0.0816,0.3948,0.4523,0.7127,0.6283,0.8442,0.0141,0.4130,0.4590
AdaBoostRegressor,0.3904,0.5080,0.6248,0.1292,0.3803,0.3850,0.7035,0.6213,0.8387,0.0268,0.4188,0.4587
XGBRegressor,0.4367,0.5021,0.6608,0.0259,0.3806,0.4054,0.7597,0.6416,0.8716,-0.0510,0.3748,0.4014
ExtraTreesRegressor,0.4270,0.4889,0.6535,0.0475,0.4090,0.4448,0.7849,0.6531,0.8859,-0.0858,0.3397,0.3704
LinearRegression,0.4639,0.5203,0.6811,-0.0349,0.4034,0.4362,0.6849,0.6205,0.8276,0.0526,0.4718,0.4997
KNeighborsRegressor,0.4450,0.4860,0.6671,0.0072,0.4175,0.4502,0.7645,0.6489,0.8744,-0.0577,0.3671,0.3341
SVR,0.4270,0.5018,0.6535,0.0475,0.3124,0.3660,0.8320,0.6850,0.9122,-0.1510,0.3254,0.3340
MLPRegressor,1.1126,0.8396,1.0548,-1.4820,0.0758,0.1354,1.1592,0.8394,1.0767,-0.6036,0.0906,0.1044
