,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4177,0.5391,0.6463,0.0683,0.2792,0.2679,0.6729,0.5957,0.8203,0.0691,0.4805,0.4890
DecisionTreeRegressor,0.4510,0.5255,0.6716,-0.0060,0.3286,0.2907,0.7092,0.6253,0.8421,0.0189,0.3712,0.4830
RandomForestRegressor,0.4121,0.5120,0.6419,0.0808,0.3462,0.3497,0.7129,0.6184,0.8443,0.0138,0.3905,0.4640
GradientBoostingRegressor,0.4227,0.5214,0.6502,0.0570,0.3333,0.3332,0.7184,0.6200,0.8476,0.0061,0.3863,0.4572
AdaBoostRegressor,0.4057,0.5127,0.6369,0.0950,0.3389,0.3425,0.6926,0.6187,0.8322,0.0418,0.4542,0.4602
XGBRegressor,0.4330,0.5174,0.6581,0.0340,0.3500,0.3319,0.7381,0.6358,0.8591,-0.0211,0.3437,0.4411
ExtraTreesRegressor,0.4394,0.5242,0.6629,0.0198,0.3382,0.3024,0.7182,0.6286,0.8475,0.0064,0.3593,0.4851
LinearRegression,0.4474,0.5353,0.6689,0.0019,0.3252,0.2921,0.6766,0.6156,0.8225,0.0640,0.4275,0.5090
KNeighborsRegressor,0.5702,0.5870,0.7551,-0.2720,0.2481,0.2633,0.7313,0.6430,0.8552,-0.0118,0.2684,0.3737
SVR,0.4868,0.5453,0.6977,-0.0860,0.1551,0.2250,0.7345,0.6308,0.8570,-0.0161,0.3524,0.4156
MLPRegressor,1.0705,0.8358,1.0346,-1.3879,0.0163,0.0430,1.2396,0.8541,1.1134,-0.7149,0.0945,0.1516
