,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2810,0.4092,0.5301,0.3731,0.6146,0.6503,0.4425,0.4843,0.6652,0.3878,0.7216,0.7734
DecisionTreeRegressor,0.2195,0.3542,0.4685,0.5103,0.7426,0.7345,0.2151,0.3537,0.4638,0.7024,0.8769,0.8547
RandomForestRegressor,0.2301,0.3651,0.4797,0.4867,0.7108,0.7237,0.3899,0.4212,0.6244,0.4606,0.7948,0.8506
GradientBoostingRegressor,0.2297,0.3631,0.4793,0.4875,0.7094,0.7296,0.2797,0.3811,0.5289,0.6130,0.8309,0.8340
AdaBoostRegressor,0.2710,0.4200,0.5206,0.3955,0.6423,0.6612,0.4246,0.4771,0.6517,0.4125,0.7854,0.7922
XGBRegressor,0.2117,0.3596,0.4601,0.5278,0.7355,0.7368,0.2844,0.3550,0.5333,0.6066,0.8429,0.8671
ExtraTreesRegressor,0.2296,0.3467,0.4791,0.4879,0.7085,0.7305,0.3636,0.3950,0.6030,0.4970,0.7755,0.8381
LinearRegression,0.6652,0.6279,0.8156,-0.4840,0.3858,0.4361,0.9922,0.7263,0.9961,-0.3726,0.2565,0.3690
KNeighborsRegressor,0.3672,0.4302,0.6059,0.1810,0.5326,0.5495,0.5784,0.5507,0.7605,0.1998,0.6653,0.6850
SVR,0.2798,0.3916,0.5290,0.3758,0.6183,0.6343,0.5265,0.4838,0.7256,0.2716,0.6727,0.7557
MLPRegressor,0.8063,0.6154,0.8979,-0.7986,0.2989,0.3509,1.0886,0.7266,1.0434,-0.5061,0.3697,0.4275
