,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3227,0.4361,0.5681,0.2802,0.5315,0.5520,0.6877,0.6078,0.8292,0.0487,0.4443,0.3873
DecisionTreeRegressor,0.4160,0.4444,0.6450,0.0721,0.4915,0.5308,0.5255,0.5288,0.7249,0.2730,0.6417,0.6231
RandomForestRegressor,0.3203,0.4071,0.5659,0.2856,0.5581,0.5874,0.6150,0.5376,0.7843,0.1491,0.5796,0.6008
GradientBoostingRegressor,0.3407,0.4244,0.5837,0.2400,0.5164,0.5384,0.6214,0.5334,0.7883,0.1403,0.5328,0.5554
AdaBoostRegressor,0.3661,0.4856,0.6051,0.1833,0.4366,0.4757,0.6673,0.6024,0.8169,0.0768,0.5040,0.5169
XGBRegressor,0.3615,0.4116,0.6012,0.1937,0.5422,0.5701,0.6302,0.5391,0.7938,0.1282,0.5384,0.5438
ExtraTreesRegressor,0.3986,0.4282,0.6314,0.1107,0.5049,0.5499,0.5554,0.5330,0.7453,0.2316,0.6148,0.6041
LinearRegression,0.4716,0.5040,0.6867,-0.0520,0.3978,0.4833,0.9346,0.6549,0.9668,-0.2930,0.3438,0.3975
KNeighborsRegressor,0.4048,0.4544,0.6363,0.0970,0.4590,0.4857,0.5810,0.5773,0.7622,0.1963,0.6259,0.6238
SVR,0.3666,0.4299,0.6054,0.1823,0.4621,0.4966,0.6739,0.5581,0.8209,0.0677,0.4775,0.4943
MLPRegressor,1.0223,0.6796,1.0111,-1.2805,0.0629,0.1511,1.1159,0.7629,1.0563,-0.5437,0.3174,0.3770
