,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3365,0.4520,0.5801,0.2493,0.4995,0.4936,0.6684,0.5749,0.8176,0.0753,0.4528,0.4776
DecisionTreeRegressor,0.4445,0.4865,0.6667,0.0085,0.4461,0.4832,0.6634,0.5687,0.8145,0.0822,0.5420,0.5997
RandomForestRegressor,0.3484,0.4296,0.5903,0.2228,0.5125,0.5563,0.6177,0.5285,0.7859,0.1454,0.5745,0.6323
GradientBoostingRegressor,0.3118,0.4066,0.5584,0.3045,0.5678,0.5939,0.6131,0.5098,0.7830,0.1518,0.5523,0.6058
AdaBoostRegressor,0.3883,0.4980,0.6231,0.1338,0.3785,0.4077,0.6555,0.5825,0.8096,0.0931,0.5412,0.5617
XGBRegressor,0.3958,0.4629,0.6291,0.1171,0.4873,0.5291,0.6270,0.5429,0.7919,0.1325,0.5601,0.6357
ExtraTreesRegressor,0.4108,0.4729,0.6410,0.0835,0.4695,0.5085,0.6384,0.5504,0.7990,0.1168,0.5554,0.6131
LinearRegression,0.5911,0.5924,0.7688,-0.3185,0.3437,0.3969,0.7139,0.6271,0.8449,0.0124,0.3990,0.4897
KNeighborsRegressor,0.3880,0.4424,0.6229,0.1344,0.4704,0.4908,0.5233,0.5177,0.7234,0.2761,0.6583,0.6626
SVR,0.3688,0.4530,0.6073,0.1773,0.4511,0.4618,0.6398,0.5113,0.7999,0.1149,0.5323,0.5644
MLPRegressor,0.8180,0.6599,0.9044,-0.8246,0.1567,0.2339,1.2088,0.7887,1.0994,-0.6722,0.2132,0.2818
